p_in,id,title,author1,author_gender,category,frmt1,frmt2
12367,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
11346,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
9748,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
8978,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
7971,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
7788,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
7754,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
7717,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
7515,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
7482,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
7324,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
7082,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
6909,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
6886,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
6618,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
6555,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
6507,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
6499,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
6390,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
6065,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
5966,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
5949,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
5914,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
5854,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
5849,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
5738,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
5724,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
5676,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
5639,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
5473,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
5442,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
5423,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
5417,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
5396,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
5382,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
5319,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
