r_appos,id,title,author1,author_gender,category,frmt1,frmt2
5213,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
4910,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
4723,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
4543,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
4385,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
4145,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
4126,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
4023,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
3961,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
3952,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
3951,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
3889,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
3828,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
3708,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
3623,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
3507,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
3462,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
3330,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
3272,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
3252,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
3218,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
3202,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
3189,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
3166,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
3147,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
3141,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
3096,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
3087,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
3053,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
3052,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
3043,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
3027,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
2995,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
2850,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
2827,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
2801,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
2778,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
2769,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
2748,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
2678,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
2652,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
2636,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
2616,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
2562,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
2559,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
2542,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
2524,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
2513,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
2506,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
2505,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
2500,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
2492,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
2481,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
2476,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
2464,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
2463,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
2451,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
2423,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
2422,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
2397,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
2387,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
2370,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
2352,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
2332,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
2313,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
