p_pn,id,title,author1,author_gender,category,frmt1,frmt2
109937,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
109851,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
109571,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
109561,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
109267,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
109256,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
109017,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
108754,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
107590,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
107446,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
107151,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
106806,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
106400,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
106392,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
106372,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
106080,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
106038,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
105795,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
105780,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
105623,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
105607,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
105250,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
104928,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
104815,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
104208,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
103622,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
103590,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
103436,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
103400,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
103375,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
102847,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
102312,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
101873,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
101842,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
101796,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
101592,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
101550,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
100365,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
100224,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
99825,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
99795,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
99584,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
99477,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
98999,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
98692,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
98315,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
98047,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
97964,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
97724,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
97450,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
95742,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
95546,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
95507,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
95428,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
95110,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
94080,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
94073,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
93166,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
89371,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
88434,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
86683,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
84779,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
83377,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
79588,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
78114,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
74455,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
70729,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
