r_fixed,id,title,author1,author_gender,category,frmt1,frmt2
19442,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
18685,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
18662,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
18620,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
18474,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
18059,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
16919,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
16759,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
16635,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
16322,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
16236,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
16107,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
15966,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
15751,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
15553,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
15503,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
15443,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
15416,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
15400,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
15291,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
15187,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
15055,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
14537,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
14236,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
14233,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
14120,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
14101,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
14083,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
13859,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
13795,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
13758,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
13754,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
13749,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
13659,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
13534,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
13428,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
13406,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
13393,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
13325,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
13308,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
13196,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
13183,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
13178,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
13159,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
13127,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
13043,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
12946,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
12925,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
12889,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
12820,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
12816,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
12816,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
12762,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
12757,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
12729,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
12693,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
12681,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
12637,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
12583,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
12546,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
12489,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
12488,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
12457,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
12455,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
12445,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
12436,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
12413,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
12392,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
12343,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
12334,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
12252,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
12244,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
12193,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
12175,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
12174,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
12142,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
12073,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
12069,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
12016,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
12003,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
11959,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
11957,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
11946,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
11945,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
11945,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
11906,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
11774,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
11771,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
11718,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
11703,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
11634,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
11625,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
