r_advcl,id,title,author1,author_gender,category,frmt1,frmt2
21454,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
21294,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
21282,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
21179,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
21161,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
21145,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
21145,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
21099,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
21046,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
21002,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
20956,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
20938,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
20938,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
20883,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
20684,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
20523,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
20410,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
20239,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
20119,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
20115,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
19965,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
19678,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
19668,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
19642,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
19137,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
19111,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
18991,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
18797,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
18742,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
18468,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
18235,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
18018,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
17328,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
17197,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
17148,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
17018,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
13339,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
