r_det,id,title,author1,author_gender,category,frmt1,frmt2
50030,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
49029,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
47901,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
46665,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
46431,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
45710,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
45500,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
44620,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
44262,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
43716,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
43081,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
42952,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
42555,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
42132,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
41764,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
41729,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
41707,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
41699,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
41663,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
41592,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
41589,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
41520,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
41429,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
40738,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
40666,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
40550,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
40530,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
40494,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
