r_parataxis,id,title,author1,author_gender,category,frmt1,frmt2
10957,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
10868,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
10765,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
10487,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
10446,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
10332,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
10012,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
9912,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
9694,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
9644,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
9302,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
8994,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
8910,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
8420,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
8416,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
8392,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
8380,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
8295,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
8260,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
8171,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
8031,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
7954,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
7641,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
7194,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
7192,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
6931,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
6909,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
6861,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
6783,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
6728,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
6565,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
6338,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
5741,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
4822,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
