r_cop,id,title,author1,author_gender,category,frmt1,frmt2
22744,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
22319,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
22234,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
22135,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
21665,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
21406,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
21186,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
20908,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
20900,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
20764,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
20697,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
20691,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
20555,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
20511,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
20434,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
20340,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
20318,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
20292,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
20216,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
20214,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
20203,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
20172,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
20147,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
19933,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
19698,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
19662,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
19631,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
19629,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
19626,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
