r_iobj,id,title,author1,author_gender,category,frmt1,frmt2
3941,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
3309,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
3209,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
2851,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
2767,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
2720,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
2637,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
2629,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
2610,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
2592,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
2559,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
2539,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
2472,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
2451,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
2426,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
2423,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
2404,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
2398,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
2379,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
2348,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
2307,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
2302,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
2249,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
2245,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
2239,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
2210,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
2185,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
2176,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
2173,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
2169,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
2164,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
2162,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
2159,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
2156,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
2140,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
2133,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
2124,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
2115,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
2107,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
2100,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
2082,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
2065,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
2062,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
2051,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
2047,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
2045,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
2044,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
2034,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
