r_obl,id,title,author1,author_gender,category,frmt1,frmt2
69051,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
67475,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
67262,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
67107,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
67041,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
66909,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
66855,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
66743,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
66664,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
65369,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
65143,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
64626,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
64381,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
64320,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
63851,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
63761,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
63706,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
63428,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
63186,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
62891,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
62317,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
62223,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
62096,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
61667,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
61500,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
60746,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
60547,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
60544,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
60499,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
