r_case,id,title,author1,author_gender,category,frmt1,frmt2
94950,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
91980,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
91053,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
90966,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
90841,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
89852,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
89648,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
88688,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
88286,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
86896,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
86380,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
85791,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
85649,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
85053,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
85025,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
84970,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
84951,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
84912,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
83508,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
83451,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
83325,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
82869,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
82431,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
82335,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
82076,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
81734,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
81695,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
81582,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
80943,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
80813,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
80762,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
80642,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
80638,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
80570,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
80499,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
80399,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
80209,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
80026,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
79963,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
79846,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
79377,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
