r_compound,id,title,author1,author_gender,category,frmt1,frmt2
508,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
507,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
492,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
414,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
414,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
346,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
323,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
293,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
288,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
285,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
280,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
280,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
279,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
278,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
266,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
248,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
245,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
244,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
242,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
241,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
239,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
236,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
233,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
223,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
219,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
208,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
207,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
205,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
200,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
196,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
195,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
194,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
193,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
191,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
178,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
177,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
173,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
171,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
170,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
169,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
164,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
160,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
159,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
159,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
158,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
156,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
150,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
150,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
149,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
147,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
139,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
138,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
134,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
133,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
131,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
125,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
125,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
123,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
123,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
