r_flat:name,id,title,author1,author_gender,category,frmt1,frmt2
13806,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
9783,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
9705,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
9469,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
8908,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
8468,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
7748,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
7599,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
7518,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
7491,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
7238,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
7216,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
6933,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
6932,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
6701,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
6303,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
6235,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
6178,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
6109,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
6083,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
5907,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
5868,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
5729,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
5548,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
5411,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
5330,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
5326,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
5290,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
5284,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
5275,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
