r_csubj,id,title,author1,author_gender,category,frmt1,frmt2
3692,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
3576,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
3531,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
3500,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
3421,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
3258,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
3165,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
3011,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
2972,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
2931,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
2912,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
2900,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
2853,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
2826,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
2797,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
2720,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
2661,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
2605,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
2591,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
2575,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
2546,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
2528,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
2521,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
2484,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
2481,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
2479,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
2454,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
2453,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
2419,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
2413,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
2387,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
2373,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
2365,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
2362,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
2344,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
2325,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
2323,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
2300,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
2274,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
2254,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
2254,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
2227,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
2209,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
2191,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
2188,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
2183,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
2179,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
2167,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
2141,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
2137,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
2133,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
2121,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
2121,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
2121,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
2107,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
2105,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
2103,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
2092,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
2088,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
2078,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
2076,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
2069,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
2064,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
2059,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
2056,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
2048,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
2041,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
2017,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
2017,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
2008,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
2005,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
2004,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
2001,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
1992,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
