slm,id,title,author1,author_gender,category,frmt1,frmt2
23262,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
21264,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
19322,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
19114,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
18789,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
17874,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
17573,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
17243,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
17146,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
17137,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
16920,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
16888,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
16853,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
16164,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
15724,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
15553,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
15339,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
15276,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
15177,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
15162,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
15018,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
14880,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
14854,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
14841,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
14563,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
14531,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
14519,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
14479,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
14324,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
14230,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
14210,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
14189,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
14120,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
14114,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
13855,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
13814,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
13708,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
13594,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
13586,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
13528,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
13505,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
13490,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
13443,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
13430,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
13397,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
13293,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
13191,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
13187,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
