r_nsubj:pass,id,title,author1,author_gender,category,frmt1,frmt2
8872,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
7646,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
6961,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
6604,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
6601,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
6578,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
6499,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
6492,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
6451,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
6326,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
6234,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
6228,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
6224,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
6154,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
6084,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
6050,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
6039,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
6030,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
6014,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
5974,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
5902,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
5821,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
5809,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
5806,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
5701,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
5695,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
5631,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
5605,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
5550,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
5546,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
5471,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
5453,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
5441,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
5403,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
5397,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
5392,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
5358,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
5325,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
5237,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
5228,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
5161,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
5141,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
5132,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
5042,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
5021,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
