r_xcomp,id,title,author1,author_gender,category,frmt1,frmt2
17396,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
16664,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
16345,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
16101,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
16046,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
15544,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
15449,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
15435,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
15334,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
15321,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
15318,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
15256,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
15242,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
15192,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
15117,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
15010,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
14916,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
14848,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
14746,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
14607,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
14552,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
14481,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
14433,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
14324,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
14301,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
14291,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
14222,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
14200,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
14130,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
14067,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
13977,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
13934,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
13903,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
13866,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
13785,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
13773,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
13756,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
13730,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
13660,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
13574,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
13544,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
13543,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
13537,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
13515,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
13449,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
13364,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
13347,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
13341,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
13287,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
13283,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
13279,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
13275,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
13258,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
13231,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
13210,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
13159,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
13144,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
13112,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
13103,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
13072,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
13058,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
13021,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
13007,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
13004,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
12978,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
12964,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
12933,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
12918,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
12914,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
12911,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
12899,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
12856,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
12830,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
12824,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
12809,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
12805,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
12789,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
12777,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
12718,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
12704,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
12678,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
12605,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
12588,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
12573,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
12565,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
12469,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
12465,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
12463,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
12454,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
12449,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
12430,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
12427,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
12414,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
12406,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
12375,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
12373,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
12372,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
12366,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
12325,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
12302,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
12292,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
12274,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
12253,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
12211,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
12198,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
12151,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
12150,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
12136,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
12110,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
12101,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
12091,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
12067,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
12020,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
11982,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
11965,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
11894,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
11891,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
11875,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
11840,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
11760,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
11707,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
11687,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
11672,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
11615,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
11597,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
11574,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
11569,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
11568,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
11556,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
11518,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
11464,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
11408,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
11406,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
11386,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
11322,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
11320,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
11320,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
11272,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
