p_kn,id,title,author1,author_gender,category,frmt1,frmt2
64825,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
62275,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
61523,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
60407,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
58695,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
57537,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
56891,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
56865,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
55508,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
54191,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
53660,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
53407,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
53181,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
51429,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
51160,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
50695,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
50507,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
50125,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
49910,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
49775,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
49568,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
49268,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
48899,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
48845,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
48598,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
48594,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
48479,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
48425,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
47364,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
47329,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
47295,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
