p_ie,id,title,author1,author_gender,category,frmt1,frmt2
16525,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
16350,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
16184,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
15741,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
15620,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
15533,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
15144,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
14909,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
14710,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
14300,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
13586,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
13476,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
13469,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
13227,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
12752,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
12707,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
12630,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
12611,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
12597,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
12442,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
12292,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
12279,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
12270,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
12206,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
12140,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
12104,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
12065,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
12005,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
11921,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
11888,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
11797,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
11785,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
11778,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
11759,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
11707,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
11682,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
11672,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
11635,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
11630,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
11618,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
11614,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
11560,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
11488,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
11401,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
11387,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
11387,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
11380,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
11342,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
11318,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
11278,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
11257,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
11257,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
11226,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
11179,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
11178,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
