r_nmod:poss,id,title,author1,author_gender,category,frmt1,frmt2
36566,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
34857,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
24680,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
24499,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
23953,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
23539,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
23137,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
23012,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
22193,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
22064,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
21807,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
21634,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
21242,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
20967,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
20384,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
20362,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
20344,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
20192,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
20095,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
20068,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
20061,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
20034,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
19885,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
19532,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
19525,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
19478,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
19371,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
19310,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
19302,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
19224,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
19000,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
18939,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
18852,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
18846,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
18837,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
18651,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
18633,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
18527,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
18515,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
18364,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
18321,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
18242,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
18204,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
18200,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
18109,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
18102,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
18053,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
