r_ccomp,id,title,author1,author_gender,category,frmt1,frmt2
16002,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
14508,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
13191,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
13186,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
12846,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
12820,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
12656,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
12580,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
12535,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
12372,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
12324,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
12276,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
12192,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
12140,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
11927,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
11512,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
11363,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
11311,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
11294,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
11132,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
11113,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
11105,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
11064,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
11043,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
10995,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
10926,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
10837,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
10806,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
10788,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
10767,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
10740,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
10719,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
10709,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
10686,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
