p_ha,id,title,author1,author2,author_gender,category,frmt1,frmt2
14460,bstream_031,Bakom stängda dörrar,"Paris, B.A.",,F,CRIME,no,strm
13974,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",,M,PRESTIGE,hb,sell
12825,SvB_BS_275,Silvervägen,"Jackson, Stina",,F,CRIME,pb,both
12589,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",,M,PRESTIGE,both,sell
12510,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",,F,CRIME,both,both
12279,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",,M,OTHER,hb,sell
12233,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",,F,OTHER,pb,sell
12226,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",,F,PRESTIGE,pb,sell
12176,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",,F,CRIME,pb,sell
11982,SvB_BS_216,Björnstad,"Backman, Fredrik",,M,OTHER,pb,sell
11917,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",,F,CRIME,both,both
11896,bstream_043,Dotter saknad,"Jansson, Anna",,F,CRIME,no,strm
11890,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",,F,CRIME,pb,both
11798,bstream_020,Välkommen hem,"Schulman, Ninni",,F,CRIME,no,strm
11787,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",,F,PRESTIGE,pb,sell
11668,SvB_BS_306,Motiv X,"Ahnhem, Stefan",,M,CRIME,pb,sell
11648,bstream_051,Allt jag fått lära mig,"Westover, Tara",,F,OTHER,no,strm
11565,SvB_BS_271,Tre timmar,"Roslund, Anders",,M,CRIME,both,sell
11378,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",,M,CRIME,pb,sell
11365,bstream_001,Alla kan se dig,"Jansson, Anna",,F,CRIME,no,strm
11353,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",,F,CRIME,pb,sell
11331,bstream_021,Sov du lilla videung,"Börjlind, Rolf",Cilla Börjlind,2,CRIME,no,strm
11275,SvB_BS_292,Broder Jakob,"Schepp, Emelie",,F,CRIME,hb,both
11239,bstream_005,Dominodöden,"Moström, Jonas",,M,CRIME,no,strm
11230,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",,F,CRIME,pb,both
11203,SvB_BS_246,Toner i natten,"Moyes, Jojo",,F,OTHER,both,both
11148,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",,M,OTHER,both,both
11116,SvB_BS_299,Jamåhonleva,"Roslund, Anders",,M,CRIME,hb,sell
11053,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",,F,CRIME,both,both
11024,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",,F,PRESTIGE,hb,sell
10967,bstream_003,Hämnaren,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
10941,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",,M,CRIME,both,both
10872,bstream_010,Rädslans fångar,"Jansson, Anna",,F,CRIME,no,strm
10858,bstream_036,Domaren,"Öhrlund, Dag",,M,CRIME,no,strm
10842,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",,M,CRIME,pb,sell
10835,bstream_030,Kvinnan på bänken,"Jansson, Anna",,F,CRIME,no,strm
10809,SvB_BS_285,Pappas pojke,"Schepp, Emelie",,F,CRIME,pb,both
10803,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",,M,OTHER,hb,sell
10801,SvB_BS_156,Gone Girl,"Flynn, Gillian",,F,CRIME,pb,sell
10751,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",,F,CRIME,pb,sell
10746,SvB_BS_202,Glöm mig,"Schulman, Alex",,M,OTHER,both,sell
10735,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",,F,OTHER,pb,sell
10702,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",,F,CRIME,pb,sell
10688,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",,F,CRIME,hb,both
10661,SvB_BS_165,De underkända,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,hb,both
10661,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",,M,OTHER,pb,sell
10644,bstream_019,När livet börjar om,"Dillon, Lucy",,F,OTHER,no,strm
10618,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",,F,CRIME,both,both
10538,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",,F,CRIME,pb,sell
10504,bstream_039,Skuggorna ruva,"Moström, Jonas",,M,CRIME,no,strm
10500,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",,F,PRESTIGE,hb,sell
10494,bstream_009,I sanningens namn,"Sten, Viveca",,F,CRIME,no,strm
10479,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",,M,CRIME,no,strm
10452,bstream_012,Där inga ögon ser,"Öhrlund, Dag",,M,CRIME,no,strm
10443,bstream_025,Uppståndelsen,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
10438,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",,F,CRIME,no,strm
10430,SvB_BS_288,1794,"Natt och Dag, Niklas",,M,CRIME,hb,sell
10421,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",,M,CRIME,hb,both
10393,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",,F,OTHER,hb,sell
10362,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",,F,OTHER,pb,sell
10310,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,hb,both
10306,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",,F,OTHER,hb,sell
10267,bstream_013,Motvind,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
10263,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",,F,CRIME,no,strm
10258,bstream_047,Offer 2117,"Adler-Olsen, Jussi",,M,CRIME,no,strm
10227,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",,F,CRIME,hb,both
10218,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",,F,CRIME,no,strm
10217,bstream_007,Skymningsflickan,"Wennstam, Katarina",,F,CRIME,no,strm
10172,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",,M,CRIME,no,strm
10163,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",,F,OTHER,pb,sell
10146,SvB_BS_251,Häxan,"Läckberg, Camilla",,F,CRIME,both,both
10100,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",,F,OTHER,pb,sell
10038,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",,M,PRESTIGE,hb,sell
10038,SvB_BS_296,Folk med ångest,"Backman, Fredrik",,M,OTHER,hb,sell
10014,SvB_BS_192,Tre minuter,"Roslund, Anders",Börge Hellström,M,CRIME,hb,sell
10006,bstream_017,Mordbrännaren,"Kant, Johan",Anders Gustafson,M,CRIME,no,strm
10002,bstream_023,Det du inte vet,"Jansson, Anna",,F,CRIME,no,strm
9940,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",,M,CRIME,no,strm
9911,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",,M,OTHER,pb,sell
9895,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",,F,OTHER,both,both
9893,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",,F,OTHER,hb,sell
9890,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",,M,CRIME,no,strm
9843,SvB_BS_177,Björndansen,"Roslund, Anders",Stefan Thunberg,M,CRIME,hb,sell
9828,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",,F,CRIME,hb,both
9817,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",,F,CRIME,both,both
9808,SvB_BS_265,En andra chans,"Moyes, Jojo",,F,OTHER,both,both
9788,SvB_BS_280,Strandcaféet,"Diamond, Lucy",,F,OTHER,pb,sell
9780,bstream_027,Trogen intill döden,"Moström, Jonas",,M,CRIME,no,strm
9775,bstream_035,Se till mig som liten är,"Öhrlund, Dag",,M,CRIME,no,strm
9765,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",,M,PRESTIGE,hb,sell
9758,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",,M,CRIME,hb,both
9705,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",,F,CRIME,no,strm
9697,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",,F,OTHER,both,sell
9694,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",Ruben Eliassen,2,CRIME,no,strm
9681,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,pb,sell
9674,SvB_BS_273,1793,"Natt och Dag, Niklas",,M,CRIME,pb,sell
9671,bstream_037,Hämndens pris,"Lewin, Erik",,M,CRIME,no,strm
9666,SvB_BS_267,I fel sällskap,"Sten, Viveca",,F,CRIME,hb,sell
9627,SvB_BS_287,En bur av guld,"Läckberg, Camilla",,F,CRIME,hb,both
9583,bstream_034,Nådastöten,"Larsson, Christina",,F,CRIME,no,strm
9582,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",,F,OTHER,both,both
9581,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",,F,CRIME,pb,both
9577,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",,F,CRIME,both,both
9548,bstream_015,Prio ett,"Schepp, Emelie",,F,CRIME,no,strm
9536,bstream_011,Kärlek sökes,"Hjulström, Carin",,F,OTHER,no,strm
9515,bstream_018,Midnattsflickor,"Moström, Jonas",,M,CRIME,no,strm
9482,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",,M,OTHER,both,sell
9457,SvB_BS_278,Husdjuret,"Grebe, Camilla",,F,CRIME,pb,sell
9384,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",,M,OTHER,pb,sell
9375,bstream_026,De sju som såg,"Rudberg, Denise",,F,CRIME,no,strm
9305,bstream_038,Änglabarnet,"Kant, Johan",Anders Gustafson,M,CRIME,no,strm
9295,bstream_050,Morden på Mörkö,"Karlsson, Samuel",,M,CRIME,no,strm
9231,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",,M,OTHER,pb,sell
9196,bstream_049,Trojanen,"Ahlstedt, Mats",,M,CRIME,no,strm
9171,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",,F,OTHER,pb,sell
9169,bstream_045,Under nio nätter,"Rudberg, Denise",,F,CRIME,no,strm
9165,SvB_BS_300,Jag for ner till bror,"Smirnoff, Karin",,F,PRESTIGE,pb,sell
9163,bstream_033,5:e Moseboken,"Larsson, Christina",,F,CRIME,no,strm
9135,SvB_BS_203,De oroliga,"Ullmann, Linn",,F,PRESTIGE,hb,sell
9131,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",,F,CRIME,both,both
9110,bstream_014,På sex meters djup,"Rudberg, Denise",,F,CRIME,no,strm
9060,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",,F,CRIME,pb,sell
8990,SvB_BS_189,I maktens skugga,"Sten, Viveca",,F,CRIME,pb,sell
8983,SvB_BS_187,Stoner,"Williams, John",,M,OTHER,pb,sell
8956,SvB_BS_291,Kniv,"Nesbø, Jo",,M,CRIME,hb,sell
8938,bstream_046,Snödrev,"Tursten, Helene",,F,CRIME,no,strm
8935,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",,F,OTHER,pb,sell
8916,SvB_BS_250,Begynnelse,"Brown, Dan",,M,CRIME,both,sell
8914,SvB_BS_155,Stalker,"Kepler, Lars",,2,CRIME,both,both
8882,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",,M,CRIME,pb,both
8785,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",,F,OTHER,pb,sell
8781,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",,F,OTHER,pb,sell
8717,SvB_BS_166,Blå stjärnan,"Guillou, Jan",,M,OTHER,hb,sell
8717,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",,F,CRIME,hb,sell
8691,SvB_BS_254,Top Dogg,"Lapidus, Jens",,M,CRIME,hb,both
8628,SvB_BS_158,VIP-rummet,"Lapidus, Jens",,M,CRIME,hb,sell
8617,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",,F,CRIME,no,strm
8605,SvB_BS_180,Etthundra mil,"Moyes, Jojo",,F,OTHER,pb,sell
8597,SvB_BS_208,1968,"Guillou, Jan",,M,OTHER,hb,sell
8576,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",,F,CRIME,pb,sell
8562,bstream_004,Vita spår,"Schepp, Emelie",,F,CRIME,no,strm
8537,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
8525,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",,F,CRIME,no,strm
8465,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",,M,CRIME,pb,sell
8429,SvB_BS_284,Höstdåd,"Motte, Anders de la",,M,CRIME,pb,sell
8404,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",,M,OTHER,pb,sell
