r_obj,id,title,author1,author_gender,category,frmt1,frmt2
52813,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
52791,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
52787,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
52754,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
52749,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
52728,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
52710,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
52459,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
52250,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
52235,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
52192,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
52185,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
52159,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
52017,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
51835,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
51826,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
51737,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
51736,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
51667,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
51562,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
51523,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
51461,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
51334,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
51182,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
51153,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
51066,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
51001,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
50917,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
50871,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
50810,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
50625,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
50526,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
50354,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
50347,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
50279,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
50262,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
50093,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
50069,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
50035,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
49917,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
49875,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
49781,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
49615,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
49574,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
49467,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
49340,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
49296,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
48943,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
48804,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
48697,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
48664,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
48574,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
48553,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
48518,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
48493,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
48486,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
48369,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
48358,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
47609,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
47384,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
47252,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
47189,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
47084,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
46782,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
46668,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
46333,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
46101,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
44999,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
43212,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
41215,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
