r_acl,id,title,author1,author_gender,category,frmt1,frmt2
7556,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
7519,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
7432,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
7008,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
6769,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
6741,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
6739,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
6619,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
6090,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
5832,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
5792,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
5717,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
5605,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
5562,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
5507,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
5372,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
5324,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
5312,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
5297,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
5275,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
5020,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
4977,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
4945,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
4927,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
4911,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
4898,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
4882,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
4857,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
4857,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
4852,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
4838,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
4835,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
4822,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
4820,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
4760,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
4752,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
4748,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
4748,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
4738,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
4719,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
4712,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
4697,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
4691,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
4678,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
4674,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
4668,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
4652,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
4613,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
4587,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
4576,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
4545,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
4530,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
4526,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
4519,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
4512,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
4508,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
4501,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
4488,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
4454,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
4449,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
4421,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
4410,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
4391,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
4329,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
4303,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
4297,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
4295,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
4266,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
4244,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
4238,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
4212,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
4200,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
4196,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
4177,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
4172,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
4162,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
4130,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
4126,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
4125,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
4106,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
4079,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
4073,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
4025,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
4024,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
4007,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
4004,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
4000,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
3997,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
3996,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
3977,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
3959,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
3954,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
3953,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
3953,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
3947,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
3937,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
3919,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
3916,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
3901,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
3897,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
3896,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
3895,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
3890,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
