wc,id,title,author1,author2,author_gender,category,frmt1,frmt2
71294,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",,F,OTHER,pb,sell
71186,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",,F,CRIME,both,both
70517,bstream_014,På sex meters djup,"Rudberg, Denise",,F,CRIME,no,strm
69803,bstream_026,De sju som såg,"Rudberg, Denise",,F,CRIME,no,strm
69271,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",,M,OTHER,both,both
64661,bstream_045,Under nio nätter,"Rudberg, Denise",,F,CRIME,no,strm
64349,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",,M,PRESTIGE,both,sell
63487,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",,F,CRIME,hb,sell
62997,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",,M,PRESTIGE,hb,sell
59435,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",,F,OTHER,pb,sell
58190,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",,F,OTHER,pb,sell
50326,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",,M,OTHER,both,both
48455,SvB_BS_202,Glöm mig,"Schulman, Alex",,M,OTHER,both,sell
43119,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",,F,CRIME,no,strm
39048,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",,F,OTHER,both,both
22505,bstream_038,Änglabarnet,"Kant, Johan",Anders Gustafson,M,CRIME,no,strm
12781,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",Joakim Ersgård,M,OTHER,no,strm
