p_pc,id,title,author1,author2,author_gender,category,frmt1,frmt2
8008,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",,F,CRIME,hb,both
7989,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",,F,OTHER,both,sell
7880,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",,F,OTHER,pb,sell
7817,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",,M,OTHER,both,sell
7734,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",,M,PRESTIGE,both,sell
7641,SvB_BS_292,Broder Jakob,"Schepp, Emelie",,F,CRIME,hb,both
7608,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",,F,CRIME,pb,both
7596,SvB_BS_158,VIP-rummet,"Lapidus, Jens",,M,CRIME,hb,sell
7434,bstream_031,Bakom stängda dörrar,"Paris, B.A.",,F,CRIME,no,strm
7352,SvB_BS_254,Top Dogg,"Lapidus, Jens",,M,CRIME,hb,both
7304,SvB_BS_251,Häxan,"Läckberg, Camilla",,F,CRIME,both,both
7241,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",,F,OTHER,pb,sell
7223,SvB_BS_296,Folk med ångest,"Backman, Fredrik",,M,OTHER,hb,sell
7198,SvB_BS_216,Björnstad,"Backman, Fredrik",,M,OTHER,pb,sell
7191,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",,M,CRIME,pb,sell
7128,bstream_020,Välkommen hem,"Schulman, Ninni",,F,CRIME,no,strm
7091,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",,F,CRIME,pb,sell
6738,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",,M,PRESTIGE,pb,sell
6190,SvB_BS_202,Glöm mig,"Schulman, Alex",,M,OTHER,both,sell
6166,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",,F,OTHER,both,both
