r_list,id,title,author1,author_gender,category,frmt1,frmt2
541,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
271,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
172,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
147,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
132,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
118,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
106,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
105,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
71,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
70,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
67,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
54,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
48,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
48,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
40,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
34,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
33,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
31,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
30,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
29,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
28,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
26,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
21,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
21,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
17,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
17,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
16,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
16,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
14,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
