ttrJJ,id,title,author1,author2,author_gender,category,frmt1,frmt2
576,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",,M,PRESTIGE,hb,sell
576,bstream_039,Skuggorna ruva,"Moström, Jonas",,M,CRIME,no,strm
565,bstream_018,Midnattsflickor,"Moström, Jonas",,M,CRIME,no,strm
558,SvB_BS_175,Järnblod,"Marklund, Liza",,F,CRIME,both,both
558,bstream_027,Trogen intill döden,"Moström, Jonas",,M,CRIME,no,strm
551,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",,F,CRIME,pb,sell
550,SvB_BS_293,Löparna,"Tokarczuk, Olga",,F,PRESTIGE,hb,sell
548,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",,F,CRIME,no,strm
546,bstream_005,Dominodöden,"Moström, Jonas",,M,CRIME,no,strm
543,SvB_BS_300,Jag for ner till bror,"Smirnoff, Karin",,F,PRESTIGE,pb,sell
538,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",,F,CRIME,hb,both
537,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",,M,CRIME,hb,both
532,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",,F,CRIME,pb,sell
531,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",,F,OTHER,pb,sell
531,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",,F,CRIME,pb,both
531,bstream_049,Trojanen,"Ahlstedt, Mats",,M,CRIME,no,strm
530,SvB_BS_250,Begynnelse,"Brown, Dan",,M,CRIME,both,sell
530,SvB_BS_272,Vardagar,"Lundell, Ulf",,M,OTHER,hb,sell
526,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",,F,PRESTIGE,pb,sell
525,bstream_017,Mordbrännaren,"Kant, Johan",Anders Gustafson,M,CRIME,no,strm
524,SvB_BS_273,1793,"Natt och Dag, Niklas",,M,CRIME,pb,sell
522,bstream_047,Offer 2117,"Adler-Olsen, Jussi",,M,CRIME,no,strm
521,SvB_BS_172,STHLM Delete,"Lapidus, Jens",,M,CRIME,both,both
521,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",,F,CRIME,both,both
521,bstream_038,Änglabarnet,"Kant, Johan",Anders Gustafson,M,CRIME,no,strm
519,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",,M,OTHER,both,both
518,SvB_BS_280,Strandcaféet,"Diamond, Lucy",,F,OTHER,pb,sell
516,SvB_BS_308,På egen hand,"Keyes, Marian",,M,OTHER,pb,sell
513,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",,F,CRIME,pb,sell
513,SvB_BS_255,Törst,"Nesbø, Jo",,M,CRIME,hb,both
512,bstream_023,Det du inte vet,"Jansson, Anna",,F,CRIME,no,strm
510,SvB_BS_156,Gone Girl,"Flynn, Gillian",,F,CRIME,pb,sell
510,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",,F,CRIME,hb,both
509,SvB_BS_288,1794,"Natt och Dag, Niklas",,M,CRIME,hb,sell
509,bstream_010,Rädslans fångar,"Jansson, Anna",,F,CRIME,no,strm
508,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",,F,CRIME,pb,sell
508,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",,M,OTHER,hb,sell
507,SvB_BS_287,En bur av guld,"Läckberg, Camilla",,F,CRIME,hb,both
506,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",,M,PRESTIGE,pb,sell
506,SvB_BS_275,Silvervägen,"Jackson, Stina",,F,CRIME,pb,both
506,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",,M,CRIME,no,strm
503,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",,F,OTHER,pb,sell
503,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",,F,CRIME,both,both
503,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",,M,CRIME,no,strm
502,bstream_019,När livet börjar om,"Dillon, Lucy",,F,OTHER,no,strm
502,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",,F,CRIME,no,strm
500,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",,F,CRIME,pb,sell
499,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",,F,CRIME,no,strm
499,bstream_043,Dotter saknad,"Jansson, Anna",,F,CRIME,no,strm
498,SvB_BS_246,Toner i natten,"Moyes, Jojo",,F,OTHER,both,both
498,bstream_035,Se till mig som liten är,"Öhrlund, Dag",,M,CRIME,no,strm
497,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",,F,CRIME,both,both
497,SvB_BS_285,Pappas pojke,"Schepp, Emelie",,F,CRIME,pb,both
496,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",,M,CRIME,hb,both
496,bstream_045,Under nio nätter,"Rudberg, Denise",,F,CRIME,no,strm
496,bstream_051,Allt jag fått lära mig,"Westover, Tara",,F,OTHER,no,strm
495,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",,F,PRESTIGE,hb,sell
495,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",,F,CRIME,pb,sell
494,SvB_BS_265,En andra chans,"Moyes, Jojo",,F,OTHER,both,both
494,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",,F,OTHER,pb,sell
494,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",,F,CRIME,no,strm
493,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",,F,OTHER,pb,sell
492,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",,M,OTHER,pb,sell
491,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",,F,CRIME,pb,both
491,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",,F,CRIME,pb,sell
491,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",,F,CRIME,hb,both
490,bstream_034,Nådastöten,"Larsson, Christina",,F,CRIME,no,strm
490,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",,F,CRIME,no,strm
489,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",,F,CRIME,both,both
488,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",,M,CRIME,both,both
488,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",,M,CRIME,pb,sell
487,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",,M,CRIME,pb,both
485,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",,F,CRIME,both,both
485,bstream_033,5:e Moseboken,"Larsson, Christina",,F,CRIME,no,strm
484,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",,M,OTHER,pb,sell
484,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
483,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",,M,CRIME,hb,both
482,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",,F,OTHER,both,both
481,bstream_014,På sex meters djup,"Rudberg, Denise",,F,CRIME,no,strm
480,SvB_BS_267,I fel sällskap,"Sten, Viveca",,F,CRIME,hb,sell
479,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",,F,CRIME,both,both
479,bstream_030,Kvinnan på bänken,"Jansson, Anna",,F,CRIME,no,strm
478,SvB_BS_278,Husdjuret,"Grebe, Camilla",,F,CRIME,pb,sell
478,bstream_001,Alla kan se dig,"Jansson, Anna",,F,CRIME,no,strm
476,SvB_BS_155,Stalker,"Kepler, Lars",,2,CRIME,both,both
476,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",,F,CRIME,pb,both
476,SvB_BS_292,Broder Jakob,"Schepp, Emelie",,F,CRIME,hb,both
475,bstream_015,Prio ett,"Schepp, Emelie",,F,CRIME,no,strm
474,bstream_037,Hämndens pris,"Lewin, Erik",,M,CRIME,no,strm
473,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",,F,PRESTIGE,pb,sell
472,SvB_BS_193,Kaninjägaren,"Kepler, Lars",,2,CRIME,both,both
471,SvB_BS_158,VIP-rummet,"Lapidus, Jens",,M,CRIME,hb,sell
471,bstream_036,Domaren,"Öhrlund, Dag",,M,CRIME,no,strm
470,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",,M,OTHER,pb,sell
469,SvB_BS_174,Playground,"Kepler, Lars",,2,CRIME,hb,sell
