r_compound:prt,id,title,author1,author_gender,category,frmt1,frmt2
26085,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
25905,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
25463,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
25062,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
24907,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
24511,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
23644,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
23631,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
23270,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
23267,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
23263,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
23183,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
23142,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
23115,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
22857,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
22835,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
22742,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
22450,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
22335,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
22313,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
22309,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
22267,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
22255,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
22240,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
22216,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
21993,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
21958,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
21917,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
21816,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
21800,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
21785,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
21703,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
21691,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
21683,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
21668,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
21650,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
21627,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
21578,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
21503,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
21405,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
21328,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
21315,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
21283,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
21190,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
21059,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
21052,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
21032,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
21014,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
20969,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
20960,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
20958,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
20869,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
20751,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
20748,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
20746,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
20726,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
20689,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
20671,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
20646,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
20597,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
20550,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
20488,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
20475,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
20337,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
20327,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
20322,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
20302,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
20291,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
20284,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
20192,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
20125,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
20097,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
20083,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
20082,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
20050,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
20040,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
19916,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
19686,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
19658,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
19649,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
19512,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
19497,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
19413,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
19413,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
19413,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
19345,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
19334,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
19275,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
19233,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
19205,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
19193,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
19157,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
19132,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
19090,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
19078,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
19042,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
18923,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
18899,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
18894,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
18825,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
18825,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
18808,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
18799,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
18783,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
18766,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
18762,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
18720,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
18622,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
18622,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
18607,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
18597,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
18582,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
18525,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
18506,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
18492,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
18471,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
18415,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
18351,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
18234,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
18231,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
18179,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
18162,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
18017,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
17899,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
17872,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
17857,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
17761,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
17642,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
17637,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
17605,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
17440,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
17411,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
17370,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
17362,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
17345,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
