r_nsubj,id,title,author1,author_gender,category,frmt1,frmt2
109068,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
109007,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
108921,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
108913,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
108874,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
108743,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
108471,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
108318,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
107904,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
107612,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
107306,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
107250,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
107214,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
106478,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
106070,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
106046,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
105637,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
105385,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
105022,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
104906,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
104793,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
104568,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
104265,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
104084,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
102602,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
102483,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
102382,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
102275,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
102216,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
102122,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
102000,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
101819,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
101698,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
100449,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
99694,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
97680,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
97643,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
94334,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
94019,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
93430,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
90147,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
89284,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
86103,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
85431,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
