p_ro,id,title,author1,author2,author_gender,category,frmt1,frmt2
2057,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",,M,OTHER,both,both
1983,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",,M,OTHER,hb,sell
1945,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",,M,OTHER,pb,sell
1812,SvB_BS_177,Björndansen,"Roslund, Anders",Stefan Thunberg,M,CRIME,hb,sell
1701,SvB_BS_299,Jamåhonleva,"Roslund, Anders",,M,CRIME,hb,sell
1658,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",,M,OTHER,hb,sell
1653,SvB_BS_192,Tre minuter,"Roslund, Anders",Börge Hellström,M,CRIME,hb,sell
1618,bstream_051,Allt jag fått lära mig,"Westover, Tara",,F,OTHER,no,strm
1598,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",,M,OTHER,pb,sell
1588,SvB_BS_203,De oroliga,"Ullmann, Linn",,F,PRESTIGE,hb,sell
1588,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",,F,PRESTIGE,pb,sell
1566,SvB_BS_271,Tre timmar,"Roslund, Anders",,M,CRIME,both,sell
1529,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",,M,CRIME,hb,both
1486,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",,M,OTHER,hb,sell
1470,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",,M,OTHER,hb,sell
1437,SvB_BS_208,1968,"Guillou, Jan",,M,OTHER,hb,sell
1424,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",,M,OTHER,hb,sell
1419,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",,M,OTHER,pb,sell
1398,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",,M,CRIME,both,both
1384,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",,F,CRIME,both,both
1374,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",,M,OTHER,both,both
1364,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",,M,CRIME,both,sell
1347,SvB_BS_187,Stoner,"Williams, John",,M,OTHER,pb,sell
1301,SvB_BS_166,Blå stjärnan,"Guillou, Jan",,M,OTHER,hb,sell
1278,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",,M,PRESTIGE,both,sell
1251,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",,F,PRESTIGE,pb,sell
1228,SvB_BS_255,Törst,"Nesbø, Jo",,M,CRIME,hb,both
1225,bstream_038,Änglabarnet,"Kant, Johan",Anders Gustafson,M,CRIME,no,strm
1209,bstream_018,Midnattsflickor,"Moström, Jonas",,M,CRIME,no,strm
