p_uo,id,title,author1,author2,author_gender,category,frmt1,frmt2
5383,SvB_BS_272,Vardagar,"Lundell, Ulf",,M,OTHER,hb,sell
3094,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",,F,CRIME,no,strm
3081,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",,M,CRIME,pb,sell
3081,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",,M,OTHER,pb,sell
2762,SvB_BS_250,Begynnelse,"Brown, Dan",,M,CRIME,both,sell
2488,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",,M,PRESTIGE,both,sell
2445,SvB_BS_193,Kaninjägaren,"Kepler, Lars",,2,CRIME,both,both
2354,SvB_BS_255,Törst,"Nesbø, Jo",,M,CRIME,hb,both
2345,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",,M,CRIME,pb,sell
2336,bstream_011,Kärlek sökes,"Hjulström, Carin",,F,OTHER,no,strm
2193,SvB_BS_291,Kniv,"Nesbø, Jo",,M,CRIME,hb,sell
2178,SvB_BS_306,Motiv X,"Ahnhem, Stefan",,M,CRIME,pb,sell
2158,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",,M,OTHER,hb,sell
2147,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",,M,CRIME,pb,sell
2144,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",,M,CRIME,hb,both
2066,SvB_BS_254,Top Dogg,"Lapidus, Jens",,M,CRIME,hb,both
1971,bstream_037,Hämndens pris,"Lewin, Erik",,M,CRIME,no,strm
1880,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",,F,CRIME,pb,sell
1876,SvB_BS_308,På egen hand,"Keyes, Marian",,M,OTHER,pb,sell
1865,SvB_BS_293,Löparna,"Tokarczuk, Olga",,F,PRESTIGE,hb,sell
1808,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",,M,OTHER,hb,sell
1746,SvB_BS_166,Blå stjärnan,"Guillou, Jan",,M,OTHER,hb,sell
1730,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",,F,CRIME,no,strm
1698,SvB_BS_158,VIP-rummet,"Lapidus, Jens",,M,CRIME,hb,sell
1678,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",,F,CRIME,pb,sell
1667,SvB_BS_172,STHLM Delete,"Lapidus, Jens",,M,CRIME,both,both
1652,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
1632,SvB_BS_208,1968,"Guillou, Jan",,M,OTHER,hb,sell
1580,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",,F,OTHER,pb,sell
1572,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",,M,OTHER,pb,sell
1570,SvB_BS_251,Häxan,"Läckberg, Camilla",,F,CRIME,both,both
1543,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",,M,OTHER,pb,sell
1515,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",,F,CRIME,both,both
1497,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",,F,OTHER,hb,sell
1452,bstream_047,Offer 2117,"Adler-Olsen, Jussi",,M,CRIME,no,strm
1447,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",,F,CRIME,no,strm
1427,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",,F,OTHER,pb,sell
1392,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",,F,CRIME,both,both
1379,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",,F,OTHER,pb,sell
1367,SvB_BS_284,Höstdåd,"Motte, Anders de la",,M,CRIME,pb,sell
1360,SvB_BS_203,De oroliga,"Ullmann, Linn",,F,PRESTIGE,hb,sell
1357,SvB_BS_156,Gone Girl,"Flynn, Gillian",,F,CRIME,pb,sell
1278,SvB_BS_161,Sonen,"Nesbø, Jo",,M,CRIME,both,sell
1208,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",,F,OTHER,both,both
1193,SvB_BS_296,Folk med ångest,"Backman, Fredrik",,M,OTHER,hb,sell
1177,SvB_BS_280,Strandcaféet,"Diamond, Lucy",,F,OTHER,pb,sell
1170,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",,M,OTHER,pb,sell
1160,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",,M,CRIME,hb,both
1152,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
1137,bstream_007,Skymningsflickan,"Wennstam, Katarina",,F,CRIME,no,strm
1103,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",,M,OTHER,hb,sell
1103,bstream_035,Se till mig som liten är,"Öhrlund, Dag",,M,CRIME,no,strm
1097,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",,M,CRIME,both,both
1096,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",,M,CRIME,hb,both
1094,bstream_018,Midnattsflickor,"Moström, Jonas",,M,CRIME,no,strm
1060,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",,M,CRIME,no,strm
1050,SvB_BS_180,Etthundra mil,"Moyes, Jojo",,F,OTHER,pb,sell
1023,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",,F,OTHER,pb,sell
1013,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",,M,CRIME,both,sell
1011,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",,F,CRIME,no,strm
1005,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",,M,PRESTIGE,hb,sell
968,SvB_BS_287,En bur av guld,"Läckberg, Camilla",,F,CRIME,hb,both
945,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",,F,CRIME,no,strm
943,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",,M,CRIME,no,strm
906,bstream_025,Uppståndelsen,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
898,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",,M,OTHER,hb,sell
893,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",,F,OTHER,pb,sell
885,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",,M,PRESTIGE,pb,sell
870,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",,M,OTHER,pb,sell
865,SvB_BS_265,En andra chans,"Moyes, Jojo",,F,OTHER,both,both
862,bstream_003,Hämnaren,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
846,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",,F,CRIME,pb,both
831,SvB_BS_175,Järnblod,"Marklund, Liza",,F,CRIME,both,both
821,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",,F,OTHER,both,both
818,SvB_BS_177,Björndansen,"Roslund, Anders",Stefan Thunberg,M,CRIME,hb,sell
801,SvB_BS_192,Tre minuter,"Roslund, Anders",Börge Hellström,M,CRIME,hb,sell
797,SvB_BS_300,Jag for ner till bror,"Smirnoff, Karin",,F,PRESTIGE,pb,sell
781,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",,M,PRESTIGE,hb,sell
760,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",,M,PRESTIGE,hb,sell
751,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",,F,OTHER,pb,sell
750,bstream_027,Trogen intill döden,"Moström, Jonas",,M,CRIME,no,strm
695,SvB_BS_246,Toner i natten,"Moyes, Jojo",,F,OTHER,both,both
694,bstream_051,Allt jag fått lära mig,"Westover, Tara",,F,OTHER,no,strm
687,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",,F,PRESTIGE,pb,sell
677,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",,M,CRIME,pb,both
660,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",,F,CRIME,pb,sell
656,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",,M,CRIME,pb,sell
651,bstream_038,Änglabarnet,"Kant, Johan",Anders Gustafson,M,CRIME,no,strm
649,bstream_039,Skuggorna ruva,"Moström, Jonas",,M,CRIME,no,strm
635,SvB_BS_271,Tre timmar,"Roslund, Anders",,M,CRIME,both,sell
630,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",,F,OTHER,pb,sell
623,SvB_BS_189,I maktens skugga,"Sten, Viveca",,F,CRIME,pb,sell
597,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",,M,CRIME,no,strm
595,bstream_046,Snödrev,"Tursten, Helene",,F,CRIME,no,strm
593,bstream_045,Under nio nätter,"Rudberg, Denise",,F,CRIME,no,strm
591,SvB_BS_202,Glöm mig,"Schulman, Alex",,M,OTHER,both,sell
575,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",,F,CRIME,both,both
571,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",,F,CRIME,pb,sell
562,bstream_019,När livet börjar om,"Dillon, Lucy",,F,OTHER,no,strm
554,SvB_BS_187,Stoner,"Williams, John",,M,OTHER,pb,sell
552,SvB_BS_165,De underkända,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,hb,both
536,bstream_005,Dominodöden,"Moström, Jonas",,M,CRIME,no,strm
533,bstream_020,Välkommen hem,"Schulman, Ninni",,F,CRIME,no,strm
531,bstream_030,Kvinnan på bänken,"Jansson, Anna",,F,CRIME,no,strm
530,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",,M,CRIME,hb,both
526,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",,F,PRESTIGE,pb,sell
514,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",,F,CRIME,hb,both
507,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",,F,OTHER,both,sell
501,bstream_036,Domaren,"Öhrlund, Dag",,M,CRIME,no,strm
500,SvB_BS_216,Björnstad,"Backman, Fredrik",,M,OTHER,pb,sell
485,SvB_BS_174,Playground,"Kepler, Lars",,2,CRIME,hb,sell
483,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,hb,both
482,bstream_012,Där inga ögon ser,"Öhrlund, Dag",,M,CRIME,no,strm
478,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",,F,PRESTIGE,hb,sell
478,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",Ruben Eliassen,2,CRIME,no,strm
463,bstream_004,Vita spår,"Schepp, Emelie",,F,CRIME,no,strm
463,bstream_014,På sex meters djup,"Rudberg, Denise",,F,CRIME,no,strm
458,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",,M,OTHER,both,both
434,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",,F,CRIME,both,both
430,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",,M,OTHER,both,sell
430,bstream_013,Motvind,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
422,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",,M,OTHER,hb,sell
419,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",,F,CRIME,pb,sell
410,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",,F,OTHER,pb,sell
405,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",,M,CRIME,both,both
385,SvB_BS_299,Jamåhonleva,"Roslund, Anders",,M,CRIME,hb,sell
380,SvB_BS_155,Stalker,"Kepler, Lars",,2,CRIME,both,both
367,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",,F,CRIME,both,both
356,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",,M,OTHER,both,both
355,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",,F,OTHER,hb,sell
351,bstream_017,Mordbrännaren,"Kant, Johan",Anders Gustafson,M,CRIME,no,strm
309,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",,F,CRIME,both,both
302,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",,F,CRIME,no,strm
299,SvB_BS_273,1793,"Natt och Dag, Niklas",,M,CRIME,pb,sell
299,bstream_015,Prio ett,"Schepp, Emelie",,F,CRIME,no,strm
293,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",,F,OTHER,pb,sell
293,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",,F,OTHER,hb,sell
289,SvB_BS_278,Husdjuret,"Grebe, Camilla",,F,CRIME,pb,sell
285,bstream_049,Trojanen,"Ahlstedt, Mats",,M,CRIME,no,strm
267,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",,F,OTHER,both,sell
263,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,pb,sell
246,bstream_034,Nådastöten,"Larsson, Christina",,F,CRIME,no,strm
237,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",,F,PRESTIGE,hb,sell
236,SvB_BS_288,1794,"Natt och Dag, Niklas",,M,CRIME,hb,sell
236,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",,F,CRIME,hb,both
236,bstream_023,Det du inte vet,"Jansson, Anna",,F,CRIME,no,strm
229,SvB_BS_261,Lazarus,"Kepler, Lars",,2,CRIME,hb,both
229,bstream_001,Alla kan se dig,"Jansson, Anna",,F,CRIME,no,strm
211,bstream_050,Morden på Mörkö,"Karlsson, Samuel",,M,CRIME,no,strm
206,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",,F,CRIME,hb,sell
203,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",Joakim Ersgård,M,OTHER,no,strm
197,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",,F,CRIME,pb,sell
194,bstream_031,Bakom stängda dörrar,"Paris, B.A.",,F,CRIME,no,strm
181,bstream_043,Dotter saknad,"Jansson, Anna",,F,CRIME,no,strm
179,bstream_009,I sanningens namn,"Sten, Viveca",,F,CRIME,no,strm
178,bstream_021,Sov du lilla videung,"Börjlind, Rolf",Cilla Börjlind,2,CRIME,no,strm
177,bstream_026,De sju som såg,"Rudberg, Denise",,F,CRIME,no,strm
161,bstream_010,Rädslans fångar,"Jansson, Anna",,F,CRIME,no,strm
160,SvB_BS_267,I fel sällskap,"Sten, Viveca",,F,CRIME,hb,sell
160,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",,F,CRIME,hb,both
159,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",,F,CRIME,pb,sell
146,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",,F,CRIME,both,both
136,SvB_BS_292,Broder Jakob,"Schepp, Emelie",,F,CRIME,hb,both
136,bstream_033,5:e Moseboken,"Larsson, Christina",,F,CRIME,no,strm
132,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",,F,CRIME,pb,sell
119,SvB_BS_285,Pappas pojke,"Schepp, Emelie",,F,CRIME,pb,both
114,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",,M,CRIME,no,strm
96,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",,M,CRIME,pb,sell
96,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",,F,CRIME,pb,both
69,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",,F,CRIME,pb,both
58,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",,F,OTHER,pb,sell
45,SvB_BS_275,Silvervägen,"Jackson, Stina",,F,CRIME,pb,both
