p_dt,id,title,author1,author2,author_gender,category,frmt1,frmt2
49643,SvB_BS_293,Löparna,"Tokarczuk, Olga",,F,PRESTIGE,hb,sell
48447,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",,M,PRESTIGE,hb,sell
47585,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",,M,OTHER,hb,sell
46329,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",,M,OTHER,hb,sell
46152,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",,M,OTHER,pb,sell
45222,SvB_BS_250,Begynnelse,"Brown, Dan",,M,CRIME,both,sell
45176,SvB_BS_208,1968,"Guillou, Jan",,M,OTHER,hb,sell
44365,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",,M,CRIME,both,sell
44096,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",,M,CRIME,hb,both
44050,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",,M,OTHER,pb,sell
42699,SvB_BS_166,Blå stjärnan,"Guillou, Jan",,M,OTHER,hb,sell
42624,SvB_BS_192,Tre minuter,"Roslund, Anders",Börge Hellström,M,CRIME,hb,sell
42379,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",,M,OTHER,pb,sell
42069,SvB_BS_273,1793,"Natt och Dag, Niklas",,M,CRIME,pb,sell
42021,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",,M,CRIME,both,both
41740,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",,M,PRESTIGE,hb,sell
41698,SvB_BS_187,Stoner,"Williams, John",,M,OTHER,pb,sell
41604,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",,F,CRIME,no,strm
41544,bstream_050,Morden på Mörkö,"Karlsson, Samuel",,M,CRIME,no,strm
41525,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",,M,OTHER,both,both
41385,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",Joakim Ersgård,M,OTHER,no,strm
41313,SvB_BS_288,1794,"Natt och Dag, Niklas",,M,CRIME,hb,sell
41183,bstream_025,Uppståndelsen,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
40761,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",,M,OTHER,pb,sell
40511,bstream_046,Snödrev,"Tursten, Helene",,F,CRIME,no,strm
40432,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",,M,CRIME,both,both
40411,bstream_051,Allt jag fått lära mig,"Westover, Tara",,F,OTHER,no,strm
40385,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",,M,OTHER,hb,sell
39909,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",,M,OTHER,both,both
39831,bstream_013,Motvind,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
39818,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",,F,CRIME,pb,sell
39768,bstream_003,Hämnaren,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
39688,SvB_BS_299,Jamåhonleva,"Roslund, Anders",,M,CRIME,hb,sell
39674,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",,F,CRIME,both,both
39629,SvB_BS_306,Motiv X,"Ahnhem, Stefan",,M,CRIME,pb,sell
39558,SvB_BS_271,Tre timmar,"Roslund, Anders",,M,CRIME,both,sell
39531,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",,M,OTHER,hb,sell
39515,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",,M,OTHER,hb,sell
39435,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",,M,OTHER,pb,sell
39433,SvB_BS_177,Björndansen,"Roslund, Anders",Stefan Thunberg,M,CRIME,hb,sell
39340,SvB_BS_193,Kaninjägaren,"Kepler, Lars",,2,CRIME,both,both
39257,bstream_014,På sex meters djup,"Rudberg, Denise",,F,CRIME,no,strm
