p_rg,id,title,author1,author2,author_gender,category,frmt1,frmt2
13199,SvB_BS_272,Vardagar,"Lundell, Ulf",,M,OTHER,hb,sell
10396,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",,M,OTHER,pb,sell
10261,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",,M,OTHER,both,both
10010,SvB_BS_177,Björndansen,"Roslund, Anders",Stefan Thunberg,M,CRIME,hb,sell
9471,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",,M,CRIME,both,sell
9250,SvB_BS_192,Tre minuter,"Roslund, Anders",Börge Hellström,M,CRIME,hb,sell
8780,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",,M,OTHER,hb,sell
8446,SvB_BS_172,STHLM Delete,"Lapidus, Jens",,M,CRIME,both,both
8313,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",,M,OTHER,hb,sell
8301,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",,M,CRIME,hb,both
7849,bstream_033,5:e Moseboken,"Larsson, Christina",,F,CRIME,no,strm
7606,SvB_BS_254,Top Dogg,"Lapidus, Jens",,M,CRIME,hb,both
7391,SvB_BS_203,De oroliga,"Ullmann, Linn",,F,PRESTIGE,hb,sell
7240,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",,M,CRIME,both,both
7154,SvB_BS_299,Jamåhonleva,"Roslund, Anders",,M,CRIME,hb,sell
7074,bstream_027,Trogen intill döden,"Moström, Jonas",,M,CRIME,no,strm
7033,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",,M,OTHER,hb,sell
7015,SvB_BS_271,Tre timmar,"Roslund, Anders",,M,CRIME,both,sell
7007,bstream_038,Änglabarnet,"Kant, Johan",Anders Gustafson,M,CRIME,no,strm
6980,SvB_BS_158,VIP-rummet,"Lapidus, Jens",,M,CRIME,hb,sell
6800,SvB_BS_208,1968,"Guillou, Jan",,M,OTHER,hb,sell
6661,bstream_018,Midnattsflickor,"Moström, Jonas",,M,CRIME,no,strm
6587,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",,M,OTHER,pb,sell
6431,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",,M,CRIME,pb,sell
6241,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",,M,CRIME,hb,both
6194,bstream_005,Dominodöden,"Moström, Jonas",,M,CRIME,no,strm
6035,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",,M,OTHER,hb,sell
6018,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",Joakim Ersgård,M,OTHER,no,strm
5985,bstream_039,Skuggorna ruva,"Moström, Jonas",,M,CRIME,no,strm
5930,bstream_046,Snödrev,"Tursten, Helene",,F,CRIME,no,strm
5877,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",,M,PRESTIGE,pb,sell
5803,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",,M,OTHER,both,both
5670,SvB_BS_180,Etthundra mil,"Moyes, Jojo",,F,OTHER,pb,sell
5613,SvB_BS_166,Blå stjärnan,"Guillou, Jan",,M,OTHER,hb,sell
5592,SvB_BS_306,Motiv X,"Ahnhem, Stefan",,M,CRIME,pb,sell
5552,bstream_037,Hämndens pris,"Lewin, Erik",,M,CRIME,no,strm
5502,bstream_025,Uppståndelsen,"Buthler, Dan",Dag Öhrlund,M,CRIME,no,strm
5420,bstream_047,Offer 2117,"Adler-Olsen, Jussi",,M,CRIME,no,strm
5353,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",,M,PRESTIGE,both,sell
5328,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",,M,CRIME,pb,sell
5288,bstream_017,Mordbrännaren,"Kant, Johan",Anders Gustafson,M,CRIME,no,strm
5236,SvB_BS_291,Kniv,"Nesbø, Jo",,M,CRIME,hb,sell
