r_advmod,id,title,author1,author_gender,category,frmt1,frmt2
110486,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
110380,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
109982,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
106944,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
102919,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
101670,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
101164,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
100535,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
100338,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
100112,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
99907,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
99781,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
99089,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
98795,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
98471,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
97957,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
97909,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
97811,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
97553,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
97154,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
96430,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
96162,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
95835,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
94468,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
93977,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
93518,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
93217,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
93199,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
93134,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
93071,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
92980,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
92837,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
92528,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
92497,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
92288,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
91764,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
91747,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
91655,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
91396,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
90842,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
90736,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
90355,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
90294,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
90170,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
90120,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
89921,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
89706,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
89591,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
89567,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
89503,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
89441,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
89136,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
89052,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
89047,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
88811,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
88769,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
88529,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
88506,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
88269,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
88009,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
87724,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
87350,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
87337,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
87246,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
87129,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
87084,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
86878,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
86869,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
86797,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
86732,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
86544,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
86396,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
86391,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
86338,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
86115,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
85978,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
85721,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
85633,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
85465,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
85431,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
85409,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
85200,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
85120,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
85109,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
85066,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
84905,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
84804,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
84764,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
84313,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
84137,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
84120,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
83852,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
83470,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
83437,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
83358,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
83175,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
83068,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
82712,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
