ttrNN,id,title,author1,author_gender,category,frmt1,frmt2
597,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
596,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
580,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
568,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
568,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
567,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
564,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
563,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
559,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
559,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
556,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
553,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
549,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
549,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
548,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
548,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
547,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
546,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
546,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
545,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
543,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
542,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
542,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
541,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
540,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
539,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
538,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
538,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
538,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
537,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
536,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
535,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
535,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
534,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
533,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
533,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
533,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
533,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
531,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
529,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
528,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
528,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
527,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
527,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
526,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
526,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
525,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
525,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
