plm,id,title,author1,author_gender,category,frmt1,frmt2
316783,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
219747,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
150330,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
97580,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
70331,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
66563,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
60515,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
59968,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
59544,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
56834,SvB_BS_211,Återstoden av dagen,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
54006,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
53554,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
53136,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
51670,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
50397,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
49828,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
49375,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
48877,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
48792,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
48088,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
47600,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
46534,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
45719,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
44152,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
43663,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
42833,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
41635,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
41043,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
40543,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
40514,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
40305,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
39878,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
39239,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
38987,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
38731,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
38239,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
38050,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
37924,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
37796,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
37518,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
37081,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
37076,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
36982,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
36620,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
35629,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
35394,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
35312,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
35245,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
34976,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
34813,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
34801,SvB_BS_246,Toner i natten,"Moyes, Jojo",F,OTHER,both,both
34491,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
34250,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
34032,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
33709,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
33663,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
33531,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
33165,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
33010,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
32989,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
32748,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
32660,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
32616,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
32381,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
32309,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
32292,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
32220,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
32218,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
32144,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
31950,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
31939,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
31862,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
31822,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
31781,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
31573,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
31400,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
31365,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
30713,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
30617,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
30439,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
30272,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
29466,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
28927,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
28798,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
28772,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
28192,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
28013,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
27746,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
27509,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
27415,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
27397,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
27319,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
27274,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
27227,SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell
27203,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
27163,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
27100,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
26894,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
26863,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
26537,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
26293,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
26240,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
26211,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
26156,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
26156,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
26143,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
26125,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
26110,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
26105,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
26065,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
25856,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
25820,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
25674,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
25524,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
25016,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
24756,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
24597,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
24516,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
24385,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
24316,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
24296,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
24208,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
24144,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
23839,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
23697,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
23672,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
23590,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
23472,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
23398,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
23280,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
23119,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
23033,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
22997,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
22951,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
22851,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
22552,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
22344,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
22341,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
22104,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
22060,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
21927,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
21424,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
21377,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
21217,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
20784,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
20570,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
19990,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
19870,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
19707,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
19212,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
19071,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
18888,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
18810,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
18732,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
18676,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
18673,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
18658,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
18408,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
18357,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
18208,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
17904,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
17646,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
17599,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
17576,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
17452,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
17384,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
16688,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
16512,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
16480,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
15908,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
15716,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
8626,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
