r_dislocated,id,title,author1,author_gender,category,frmt1,frmt2
4262,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
4150,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
4073,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
4057,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
3856,SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",M,CRIME,both,both
3766,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
3754,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
3743,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
3715,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
3638,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
3535,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
3488,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
3480,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
3475,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
3471,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
3461,SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",M,CRIME,hb,both
3437,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
3393,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
3366,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
3349,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
3339,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
3316,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
3313,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
