r_punct,id,title,author1,author_gender,category,frmt1,frmt2
216672,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
192201,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
190051,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
188014,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
184937,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
184829,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
183213,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
179324,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
177378,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
176717,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
175767,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
175752,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
173376,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
172544,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
172529,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
172196,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
172125,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
171663,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
171091,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
170904,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
167789,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
166997,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
166877,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
166153,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
166114,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
