p_ma,id,title,author1,author_gender,category,frmt1,frmt2
111230,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
99790,SvB_BS_281,Kvinnan i fönstret,"Finn, A.J.",M,CRIME,pb,sell
93491,SvB_BS_184,Lotus blues,"Ohlsson, Kristina",F,CRIME,pb,sell
92394,SvB_BS_172,STHLM Delete,"Lapidus, Jens",M,CRIME,both,both
92014,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
91461,SvB_BS_283,Syndafloder,"Ohlsson, Kristina",F,CRIME,pb,both
91134,SvB_BS_213,Hjärtats innersta röst,"Sendker, Jan-Philipp",M,OTHER,pb,sell
90297,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
90108,bstream_022,Den hemliga kvinnan,"Ekberg, Anna",F,CRIME,no,strm
88782,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
88401,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
88351,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
88326,bstream_028,Prästens lilla flicka,"Casserfelt, Susan",F,CRIME,no,strm
88104,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
88104,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
86944,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
86783,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
86268,SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both
86219,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
86213,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
86117,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
85975,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
85535,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
85089,bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm
84932,bstream_029,Den tatuerade cirkeln,"Casserfelt, Susan",F,CRIME,no,strm
84724,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
84468,SvB_BS_158,VIP-rummet,"Lapidus, Jens",M,CRIME,hb,sell
84460,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
84350,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
84139,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
83948,SvB_BS_277,Ensam i Paris och andra historier,"Moyes, Jojo",F,OTHER,pb,sell
83812,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
83664,SvB_BS_267,I fel sällskap,"Sten, Viveca",F,CRIME,hb,sell
83350,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
83303,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
83279,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
83176,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
83042,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
83018,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
82836,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
82762,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
82670,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
82394,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
82284,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
82256,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
81981,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
81973,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
81485,SvB_BS_254,Top Dogg,"Lapidus, Jens",M,CRIME,hb,both
81263,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
81241,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
80693,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
80262,SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",F,OTHER,pb,sell
80183,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
79789,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
79528,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
79474,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
79436,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
79253,SvB_BS_189,I maktens skugga,"Sten, Viveca",F,CRIME,pb,sell
79078,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
78985,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
78952,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
78928,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
78882,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
78576,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
78488,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
78331,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
77835,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
77667,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
77575,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
77565,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
77509,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
76781,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
76712,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
76523,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
76307,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
76188,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
