r_cc,id,title,author1,author_gender,category,frmt1,frmt2
57165,SvB_BS_286,Hon som måste dö,"Lagercrantz, David",M,CRIME,hb,both
54621,SvB_BS_249,Mannen som sökte sin skugga,"Lagercrantz, David",M,CRIME,hb,both
52575,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
51926,SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",F,OTHER,pb,sell
51677,SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",M,CRIME,both,both
49939,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
49626,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
48697,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
47580,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
46714,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
46641,SvB_BS_203,De oroliga,"Ullmann, Linn",F,PRESTIGE,hb,sell
45406,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
44863,SvB_BS_155,Stalker,"Kepler, Lars",2,CRIME,both,both
44307,SvB_BS_193,Kaninjägaren,"Kepler, Lars",2,CRIME,both,both
43375,SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",M,OTHER,hb,sell
43310,SvB_BS_174,Playground,"Kepler, Lars",2,CRIME,hb,sell
43159,SvB_BS_280,Strandcaféet,"Diamond, Lucy",F,OTHER,pb,sell
42730,SvB_BS_177,Björndansen,"Roslund, Anders",M,CRIME,hb,sell
42586,SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",F,OTHER,both,sell
42576,SvB_BS_256,Never let me go,"Ishiguro, Kazuo",M,PRESTIGE,hb,sell
42522,SvB_BS_261,Lazarus,"Kepler, Lars",2,CRIME,hb,both
42514,SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",M,CRIME,pb,sell
42339,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
42215,SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",M,OTHER,pb,sell
41842,bstream_025,Uppståndelsen,"Buthler, Dan",M,CRIME,no,strm
41674,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
41279,bstream_038,Änglabarnet,"Kant, Johan",M,CRIME,no,strm
41127,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
41005,bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm
40868,SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",F,CRIME,hb,both
40631,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
40586,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
40533,bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm
40491,SvB_BS_278,Husdjuret,"Grebe, Camilla",F,CRIME,pb,sell
40491,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
40361,SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",F,OTHER,pb,sell
40339,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
40289,SvB_BS_210,Arton grader minus,"Ahnhem, Stefan",M,CRIME,pb,sell
40259,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
40255,bstream_034,Nådastöten,"Larsson, Christina",F,CRIME,no,strm
40205,SvB_BS_215,De kommer att drunkna i sina mödrars tårar,"Anyuru, Johannes",M,PRESTIGE,hb,sell
40155,SvB_BS_251,Häxan,"Läckberg, Camilla",F,CRIME,both,both
40135,bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm
40117,bstream_024,Tryggare kan ingen vara,"Öhrlund, Dag",M,CRIME,no,strm
39982,SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both
39889,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
39718,bstream_048,Sista färjan från Ystad,"Alfredsson, Karin",F,CRIME,no,strm
39193,SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",F,OTHER,both,both
39147,SvB_BS_282,Blodlokan,"Boije af Gennäs, Louise",F,CRIME,pb,sell
39014,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
38897,bstream_018,Midnattsflickor,"Moström, Jonas",M,CRIME,no,strm
38888,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
38887,SvB_BS_274,Den lilla bokhandeln runt hörnet,"Colgan, Jenny",F,OTHER,pb,sell
38813,SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell
38621,SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell
38558,bstream_015,Prio ett,"Schepp, Emelie",F,CRIME,no,strm
38546,bstream_027,Trogen intill döden,"Moström, Jonas",M,CRIME,no,strm
38494,SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",M,PRESTIGE,both,sell
38469,bstream_045,Under nio nätter,"Rudberg, Denise",F,CRIME,no,strm
38158,SvB_BS_270,De vänsterhäntas förening,"Nesser, Håkan",M,CRIME,both,sell
37919,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
37840,bstream_039,Skuggorna ruva,"Moström, Jonas",M,CRIME,no,strm
37789,SvB_BS_260,Jul i det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
37760,bstream_017,Mordbrännaren,"Kant, Johan",M,CRIME,no,strm
37750,SvB_BS_257,Det förlovade landet,"Jungstedt, Mari",F,CRIME,both,both
37718,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
37565,SvB_BS_275,Silvervägen,"Jackson, Stina",F,CRIME,pb,both
37543,SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell
37473,bstream_021,Sov du lilla videung,"Börjlind, Rolf",2,CRIME,no,strm
37415,SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell
37368,SvB_BS_202,Glöm mig,"Schulman, Alex",M,OTHER,both,sell
37274,SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell
37226,bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm
37089,SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",M,OTHER,pb,sell
37049,SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",F,PRESTIGE,hb,sell
36876,SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both
36857,bstream_019,När livet börjar om,"Dillon, Lucy",F,OTHER,no,strm
36675,bstream_043,Dotter saknad,"Jansson, Anna",F,CRIME,no,strm
36663,SvB_BS_265,En andra chans,"Moyes, Jojo",F,OTHER,both,both
36542,SvB_BS_248,Det lilla bageriet på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
36329,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
36325,SvB_BS_284,Höstdåd,"Motte, Anders de la",M,CRIME,pb,sell
36306,SvB_BS_259,Sommar på strandpromenaden,"Colgan, Jenny",F,OTHER,pb,sell
36263,SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell
36236,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
36110,bstream_016,Svart stjärna - S1E1,"Ersgård, Jesper",M,OTHER,no,strm
36088,SvB_BS_271,Tre timmar,"Roslund, Anders",M,CRIME,both,sell
35923,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
35900,SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",M,CRIME,pb,sell
35827,SvB_BS_285,Pappas pojke,"Schepp, Emelie",F,CRIME,pb,both
35797,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
35761,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
35746,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
35692,bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm
35649,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
35503,SvB_BS_208,1968,"Guillou, Jan",M,OTHER,hb,sell
35487,SvB_BS_192,Tre minuter,"Roslund, Anders",M,CRIME,hb,sell
35395,SvB_BS_264,De som dödar drömmar sover aldrig,"Guillou, Jan",M,OTHER,hb,sell
35393,bstream_026,De sju som såg,"Rudberg, Denise",F,CRIME,no,strm
35390,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
35258,SvB_BS_156,Gone Girl,"Flynn, Gillian",F,CRIME,pb,sell
35243,SvB_BS_263,Bränn alla mina brev,"Schulman, Alex",M,OTHER,both,both
35111,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
35067,SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell
35031,SvB_BS_196,Simma med de drunknade,"Mytting, Lars",M,OTHER,pb,sell
35031,SvB_BS_288,1794,"Natt och Dag, Niklas",M,CRIME,hb,sell
34963,bstream_046,Snödrev,"Tursten, Helene",F,CRIME,no,strm
34951,SvB_BS_166,Blå stjärnan,"Guillou, Jan",M,OTHER,hb,sell
34751,bstream_051,Allt jag fått lära mig,"Westover, Tara",F,OTHER,no,strm
34712,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
34612,bstream_042,Mitt hjärta är ditt,"Jansson, Anna",F,CRIME,no,strm
34587,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
34478,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
34353,SvB_BS_161,Sonen,"Nesbø, Jo",M,CRIME,both,sell
34279,bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm
34272,SvB_BS_247,Kvinnan på tåget,"Hawkins, Paula",F,CRIME,pb,sell
34235,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
34230,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
34228,SvB_BS_273,1793,"Natt och Dag, Niklas",M,CRIME,pb,sell
34208,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
34092,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
34055,SvB_BS_255,Törst,"Nesbø, Jo",M,CRIME,hb,both
34053,SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell
33781,SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell
33706,SvB_BS_276,Bara ett barn,"Persson Giolito, Malin",F,CRIME,pb,sell
33602,SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",F,CRIME,pb,sell
33591,SvB_BS_287,En bur av guld,"Läckberg, Camilla",F,CRIME,hb,both
33562,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
33425,SvB_BS_176,Arvet efter dig,"Moyes, Jojo",F,OTHER,both,both
33242,SvB_BS_204,I varje ögonblick är vi fortfarande vid liv,"Malmquist, Tom",M,PRESTIGE,pb,sell
33158,SvB_BS_206,Tiggaren,"Sarenbrant, Sofie",F,CRIME,both,both
33013,SvB_BS_268,Syndabocken,"Sarenbrant, Sofie",F,CRIME,both,both
32710,SvB_BS_180,Etthundra mil,"Moyes, Jojo",F,OTHER,pb,sell
32407,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
32297,SvB_BS_165,De underkända,"Hjorth, Michael",M,CRIME,hb,both
32273,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
32233,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
32229,SvB_BS_175,Järnblod,"Marklund, Liza",F,CRIME,both,both
32213,bstream_040,Ondskans ansikte,"Ahlstedt, Mats",M,CRIME,no,strm
32059,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
32052,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
32027,SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell
31892,SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both
31867,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
31723,SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",F,OTHER,pb,sell
31539,SvB_BS_269,En högre rättvisa,"Hjorth, Michael",M,CRIME,hb,both
31462,SvB_BS_250,Begynnelse,"Brown, Dan",M,CRIME,both,sell
31412,SvB_BS_209,Slutet på sommaren,"Motte, Anders de la",M,CRIME,pb,sell
31261,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
31256,SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",F,CRIME,pb,both
31241,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
