r_aux:pass,id,title,author1,author_gender,category,frmt1,frmt2
401,SvB_BS_245,Hennes nya namn,"Ferrante, Elena",F,OTHER,hb,sell
346,SvB_BS_253,"Den som stannar, den som går","Ferrante, Elena",F,OTHER,hb,sell
341,SvB_BS_272,Vardagar,"Lundell, Ulf",M,OTHER,hb,sell
327,SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",M,OTHER,both,sell
327,bstream_031,Bakom stängda dörrar,"Paris, B.A.",F,CRIME,no,strm
305,bstream_049,Trojanen,"Ahlstedt, Mats",M,CRIME,no,strm
303,bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm
300,bstream_014,På sex meters djup,"Rudberg, Denise",F,CRIME,no,strm
293,SvB_BS_216,Björnstad,"Backman, Fredrik",M,OTHER,pb,sell
271,bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm
269,SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell
268,bstream_050,Morden på Mörkö,"Karlsson, Samuel",M,CRIME,no,strm
260,bstream_030,Kvinnan på bänken,"Jansson, Anna",F,CRIME,no,strm
258,SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",F,CRIME,pb,sell
258,SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell
256,SvB_BS_252,Det förlorade barnet,"Ferrante, Elena",F,PRESTIGE,hb,sell
255,SvB_BS_205,Kvinna inför rätta,"Doughty, Louise",F,CRIME,pb,sell
255,SvB_BS_279,Den tyska flickan,"Correa, Armando Lucas",M,OTHER,pb,sell
254,SvB_BS_200,Störst av allt,"Persson Giolito, Malin",F,CRIME,both,both
251,bstream_036,Domaren,"Öhrlund, Dag",M,CRIME,no,strm
248,SvB_BS_212,Ett litet liv,"Yanagihara, Hanya",F,PRESTIGE,pb,sell
246,bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm
244,SvB_BS_262,Till minne av en villkorslös kärlek,"Gardell, Jonas",M,OTHER,hb,sell
242,SvB_BS_258,Selfies,"Adler-Olsen, Jussi",M,CRIME,hb,both
242,bstream_035,Se till mig som liten är,"Öhrlund, Dag",M,CRIME,no,strm
241,bstream_047,Offer 2117,"Adler-Olsen, Jussi",M,CRIME,no,strm
235,bstream_044,Ingen lämnas kvar,"Öhrlund, Dag",M,CRIME,no,strm
233,SvB_BS_244,Min fantastiska väninna,"Ferrante, Elena",F,OTHER,both,sell
230,SvB_BS_187,Stoner,"Williams, John",M,OTHER,pb,sell
226,SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",F,CRIME,both,both
226,SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell
225,SvB_BS_207,Bakom din rygg,"Sarenbrant, Sofie",F,CRIME,both,both
222,bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm
220,SvB_BS_266,Ett mörker mitt ibland oss,"Jungstedt, Mari",F,CRIME,both,both
218,bstream_033,5:e Moseboken,"Larsson, Christina",F,CRIME,no,strm
217,bstream_023,Det du inte vet,"Jansson, Anna",F,CRIME,no,strm
216,SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",M,OTHER,both,both
215,SvB_BS_191,Den stumma flickan,"Hjorth, Michael",M,CRIME,pb,sell
215,bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm
213,bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm
213,bstream_020,Välkommen hem,"Schulman, Ninni",F,CRIME,no,strm
210,SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both
210,SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell
210,bstream_037,Hämndens pris,"Lewin, Erik",M,CRIME,no,strm
207,SvB_BS_214,Vänd dig inte om,"Alsterdal, Tove",F,CRIME,pb,sell
