333,p_vb,frmt2,sell,strm,,,83,49,1355,2712,1355.0
667,p_vb,frmt2,strm,sell,,,49,83,2712,1355,2712.0
304,p_vb,frmt2,sell,strm,category,CRIME,33,45,452,1033,452.0
696,p_vb,frmt2,strm,sell,category,CRIME,45,33,1033,452,1033.0
474,p_nn,frmt2,sell,strm,,,83,49,1927,2140,1927.0
526,p_nn,frmt2,strm,sell,,,49,83,2140,1927,2140.0
473,p_nn,frmt2,sell,strm,category,CRIME,33,45,703,782,703.0
527,p_nn,frmt2,strm,sell,category,CRIME,45,33,782,703,782.0
571,p_pn,frmt2,sell,strm,,,83,49,2324,1743,2324.0
429,p_pn,frmt2,strm,sell,,,49,83,1743,2324,1743.0
509,p_pn,frmt2,sell,strm,category,CRIME,33,45,756,729,756.0
491,p_pn,frmt2,strm,sell,category,CRIME,45,33,729,756,729.0
438,p_pp,frmt2,sell,strm,,,83,49,1781,2286,1781.0
562,p_pp,frmt2,strm,sell,,,49,83,2286,1781,2286.0
459,p_pp,frmt2,sell,strm,category,CRIME,33,45,681,804,681.0
541,p_pp,frmt2,strm,sell,category,CRIME,45,33,804,681,804.0
612,p_ab,frmt2,sell,strm,,,83,49,2491,1576,2491.0
388,p_ab,frmt2,strm,sell,,,49,83,1576,2491,1576.0
621,p_ab,frmt2,sell,strm,category,CRIME,33,45,922,563,922.0
379,p_ab,frmt2,strm,sell,category,CRIME,45,33,563,922,563.0
355,p_ma,frmt2,sell,strm,,,83,49,1445.5,2621.5,1445.5
645,p_ma,frmt2,strm,sell,,,49,83,2621.5,1445.5,2621.5
427,p_ma,frmt2,sell,strm,category,CRIME,33,45,634.5,850.5,634.5
573,p_ma,frmt2,strm,sell,category,CRIME,45,33,850.5,634.5,850.5
650,p_mi,frmt2,sell,strm,,,83,49,2643,1424,2643.0
350,p_mi,frmt2,strm,sell,,,49,83,1424,2643,1424.0
654,p_mi,frmt2,sell,strm,category,CRIME,33,45,971,514,971.0
346,p_mi,frmt2,strm,sell,category,CRIME,45,33,514,971,514.0
539,p_kn,frmt2,sell,strm,,,83,49,2191,1876,2191.0
461,p_kn,frmt2,strm,sell,,,49,83,1876,2191,1876.0
455,p_kn,frmt2,sell,strm,category,CRIME,33,45,676,809,676.0
545,p_kn,frmt2,strm,sell,category,CRIME,45,33,809,676,809.0
712,p_jj,frmt2,sell,strm,,,83,49,2896,1171,2896.0
288,p_jj,frmt2,strm,sell,,,49,83,1171,2896,1171.0
650,p_jj,frmt2,sell,strm,category,CRIME,33,45,965,520,965.0
350,p_jj,frmt2,strm,sell,category,CRIME,45,33,520,965,520.0
511,p_dt,frmt2,sell,strm,,,83,49,2077,1990,2077.0
489,p_dt,frmt2,strm,sell,,,49,83,1990,2077,1990.0
594,p_dt,frmt2,sell,strm,category,CRIME,33,45,882,603,882.0
406,p_dt,frmt2,strm,sell,category,CRIME,45,33,603,882,603.0
201,p_pm,frmt2,sell,strm,,,83,49,818,3249,818.0
799,p_pm,frmt2,strm,sell,,,49,83,3249,818,3249.0
230,p_pm,frmt2,sell,strm,category,CRIME,33,45,342,1143,342.0
770,p_pm,frmt2,strm,sell,category,CRIME,45,33,1143,342,1143.0
309,p_pl,frmt2,sell,strm,,,83,49,1255.0,2812.0,1255.0
691,p_pl,frmt2,strm,sell,,,49,83,2812.0,1255.0,2812.0
412,p_pl,frmt2,sell,strm,category,CRIME,33,45,611.5,873.5,611.5
588,p_pl,frmt2,strm,sell,category,CRIME,45,33,873.5,611.5,873.5
507,p_sn,frmt2,sell,strm,,,83,49,2060,2007,2060.0
493,p_sn,frmt2,strm,sell,,,49,83,2007,2060,2007.0
451,p_sn,frmt2,sell,strm,category,CRIME,33,45,670,815,670.0
549,p_sn,frmt2,strm,sell,category,CRIME,45,33,815,670,815.0
535,p_pa,frmt2,sell,strm,,,83,49,2175,1892,2175.0
465,p_pa,frmt2,strm,sell,,,49,83,1892,2175,1892.0
557,p_pa,frmt2,sell,strm,category,CRIME,33,45,827,658,827.0
443,p_pa,frmt2,strm,sell,category,CRIME,45,33,658,827,658.0
566,p_hp,frmt2,sell,strm,,,83,49,2301,1766,2301.0
434,p_hp,frmt2,strm,sell,,,49,83,1766,2301,1766.0
655,p_hp,frmt2,sell,strm,category,CRIME,33,45,973,512,973.0
345,p_hp,frmt2,strm,sell,category,CRIME,45,33,512,973,512.0
619,p_ps,frmt2,sell,strm,,,83,49,2518,1549,2518.0
381,p_ps,frmt2,strm,sell,,,49,83,1549,2518,1549.0
582,p_ps,frmt2,sell,strm,category,CRIME,33,45,864,621,864.0
418,p_ps,frmt2,strm,sell,category,CRIME,45,33,621,864,621.0
594,p_ie,frmt2,sell,strm,,,83,49,2415.0,1652.0,2415.0
406,p_ie,frmt2,strm,sell,,,49,83,1652.0,2415.0,1652.0
562,p_ie,frmt2,sell,strm,category,CRIME,33,45,834.0,651.0,834.0
438,p_ie,frmt2,strm,sell,category,CRIME,45,33,651.0,834.0,651.0
387,p_ha,frmt2,sell,strm,,,83,49,1574,2493,1574.0
613,p_ha,frmt2,strm,sell,,,49,83,2493,1574,2493.0
387,p_ha,frmt2,sell,strm,category,CRIME,33,45,575,910,575.0
613,p_ha,frmt2,strm,sell,category,CRIME,45,33,910,575,910.0
398,p_pc,frmt2,sell,strm,,,83,49,1620,2447,1620.0
602,p_pc,frmt2,strm,sell,,,49,83,2447,1620,2447.0
401,p_pc,frmt2,sell,strm,category,CRIME,33,45,596,889,596.0
599,p_pc,frmt2,strm,sell,category,CRIME,45,33,889,596,889.0
451,p_rg,frmt2,sell,strm,,,83,49,1836.0,2231.0,1836.0
549,p_rg,frmt2,strm,sell,,,49,83,2231.0,1836.0,2231.0
522,p_rg,frmt2,sell,strm,category,CRIME,33,45,775.0,710.0,775.0
478,p_rg,frmt2,strm,sell,category,CRIME,45,33,710.0,775.0,710.0
438,p_in,frmt2,sell,strm,,,83,49,1781,2286,1781.0
562,p_in,frmt2,strm,sell,,,49,83,2286,1781,2286.0
346,p_in,frmt2,sell,strm,category,CRIME,33,45,514,971,514.0
654,p_in,frmt2,strm,sell,category,CRIME,45,33,971,514,971.0
724,p_ro,frmt2,sell,strm,,,83,49,2942.5,1124.5,2942.5
276,p_ro,frmt2,strm,sell,,,49,83,1124.5,2942.5,1124.5
771,p_ro,frmt2,sell,strm,category,CRIME,33,45,1144.5,340.5,1144.5
229,p_ro,frmt2,strm,sell,category,CRIME,45,33,340.5,1144.5,340.5
650,p_uo,frmt2,sell,strm,,,83,49,2644.5,1422.5,2644.5
350,p_uo,frmt2,strm,sell,,,49,83,1422.5,2644.5,1422.5
588,p_uo,frmt2,sell,strm,category,CRIME,33,45,873.0,612.0,873.0
412,p_uo,frmt2,strm,sell,category,CRIME,45,33,612.0,873.0,612.0
347,p_hd,frmt2,sell,strm,,,83,49,1412.0,2655.0,1412.0
