p_vb
p_nn
p_pn
p_pp
p_ab
p_ma
p_mi
p_kn
p_jj
p_dt
p_pm
p_pl
p_sn
p_pa
p_hp
p_ps
p_ie
p_ha
p_pc
p_rg
p_in
p_ro
p_uo
p_hd
p_hs
common
rare
ttrall
ttrNN
ttrVB
ttrJJ
wc
plm
ddm
