id,title,author1,author_gender,category,frmt1,frmt2,n,common,rare,ttrall,ttrNN,ttrVB,ttrJJ
SvB_BS_289,Den andra dödssynden,"Guillou, Jan",M,OTHER,hb,sell,10000,662,79,275,548,285,508
SvB_BS_290,Jag ser dig,"Jungstedt, Mari",F,CRIME,hb,sell,10000,748,43,229,524,223,451
SvB_BS_291,Kniv,"Nesbø, Jo",M,CRIME,hb,sell,10000,761,42,215,513,202,468
SvB_BS_292,Broder Jakob,"Schepp, Emelie",F,CRIME,hb,both,10000,802,21,181,466,173,476
SvB_BS_293,Löparna,"Tokarczuk, Olga",F,PRESTIGE,hb,sell,10000,700,85,288,596,281,550
SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",F,OTHER,hb,sell,10000,744,47,226,512,223,463
SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",F,CRIME,hb,both,10000,771,30,212,527,201,510
SvB_BS_296,Folk med ångest,"Backman, Fredrik",M,OTHER,hb,sell,10000,781,29,178,381,189,348
SvB_BS_297,I hemlighet begravd,"Sten, Viveca",F,CRIME,hb,both,10000,760,28,207,499,197,491
SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",M,OTHER,hb,sell,10000,712,59,229,478,242,463
SvB_BS_299,Jamåhonleva,"Roslund, Anders",M,CRIME,hb,sell,10000,762,37,213,463,238,391
SvB_BS_300,Jag for ner till bror,"Smirniff, Karin",F,PRESTIGE,pb,sell,10000,760,56,225,521,220,543
SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",M,CRIME,pb,both,10000,768,32,213,511,231,487
SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",F,OTHER,pb,sell,10000,768,29,207,508,209,494
SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",F,OTHER,pb,sell,10000,775,32,190,407,194,425
SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",F,OTHER,pb,sell,10000,768,40,214,548,196,466
SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",F,CRIME,pb,both,10000,774,38,221,525,232,531
SvB_BS_306,Motiv X,"Ahnhem, Stefan",M,CRIME,pb,sell,10000,812,27,192,502,187,461
SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",F,PRESTIGE,pb,sell,10000,811,32,160,393,147,473
SvB_BS_308,På egen hand,"Keyes, Marian",M,OTHER,pb,sell,10000,785,40,210,528,198,516
bstream_001,Alla kan se dig,"Jansson, Anna",F,CRIME,no,strm,10000,754,39,225,518,203,478
bstream_002,"Falleri, fallera, falleralla","Gerhardsen, Carin",F,CRIME,no,strm,10000,742,42,239,518,266,548
bstream_003,Hämnaren,"Buthler, Dan",M,CRIME,no,strm,10000,738,37,214,477,222,444
bstream_004,Vita spår,"Schepp, Emelie",F,CRIME,no,strm,10000,785,21,196,433,204,469
bstream_005,Dominodöden,"Moström, Jonas",M,CRIME,no,strm,10000,722,42,224,508,214,546
bstream_006,Den gränslöse,"Adler-Olsen, Jussi",M,CRIME,no,strm,10000,750,44,228,556,241,503
bstream_007,Skymningsflickan,"Wennstam, Katarina",F,CRIME,no,strm,10000,779,32,206,468,199,467
bstream_008,En mörkare himmel : Gran Canaria,"Jungstedt, Mari",2,CRIME,no,strm,10000,759,31,214,456,212,464
bstream_009,I sanningens namn,"Sten, Viveca",F,CRIME,no,strm,10000,756,32,214,504,193,441
bstream_010,Rädslans fångar,"Jansson, Anna",F,CRIME,no,strm,10000,762,44,219,542,191,509
bstream_011,Kärlek sökes,"Hjulström, Carin",F,OTHER,no,strm,10000,755,43,218,559,195,458
bstream_012,Där inga ögon ser,"Öhrlund, Dag",M,CRIME,no,strm,10000,733,34,222,526,206,439
bstream_013,Motvind,"Buthler, Dan",M,CRIME,no,strm,10000,761,31,209,510,200,450
