id,title,author1,author2,author_gender,category,frmt1,frmt2,wc,slm,slsd,plm,plsd,ddm,ddsd
SvB_BS_288,1794,"Natt och Dag, Niklas",,M,CRIME,hb,sell,122960,15276,11108,48088,60309,3484,1680
SvB_BS_289,Den andra dödssynden,"Guillou, Jan",,M,OTHER,hb,sell,112033,15724,10657,34032,25191,3476,1672
SvB_BS_290,Jag ser dig,"Jungstedt, Mari",,F,CRIME,hb,sell,63487,11539,7137,32309,31224,3074,1405
SvB_BS_291,Kniv,"Nesbø, Jo",,M,CRIME,hb,sell,151627,11501,9542,28772,43122,3244,1584
SvB_BS_292,Broder Jakob,"Schepp, Emelie",,F,CRIME,hb,both,92530,10768,7114,17452,16649,3038,1401
SvB_BS_293,Löparna,"Tokarczuk, Olga",,F,PRESTIGE,hb,sell,108423,16888,12148,59968,59137,3590,1734
SvB_BS_294,Bergens stjärnor,"Moyes, Jojo",,F,OTHER,hb,sell,122578,14230,11741,31822,35717,3435,1689
SvB_BS_295,Skamvrån,"Sarenbrant, Sofie",,F,CRIME,hb,both,83106,10716,6155,21217,21292,2903,1221
SvB_BS_296,Folk med ångest,"Backman, Fredrik",,M,OTHER,hb,sell,87503,11021,10630,27319,39266,3235,1612
SvB_BS_297,I hemlighet begravd,"Sten, Viveca",,F,CRIME,hb,both,92958,10234,5484,17904,12937,2817,1177
SvB_BS_298,Hundraettåringen som tänkte att han tänkte för mycket,"Jonasson, Jonas",,M,OTHER,hb,sell,93007,11276,7891,27227,24342,3133,1489
SvB_BS_299,Jamåhonleva,"Roslund, Anders",,M,CRIME,hb,sell,117227,10049,9831,22851,34068,3276,1722
SvB_BS_300,Jag for ner till bror,"Smirnoff, Karin",,F,PRESTIGE,pb,sell,72438,7987,4950,22344,18442,2697,1222
SvB_BS_301,En helt vanlig familj,"Edvardsson, Mattias",,M,CRIME,pb,both,107011,9802,6766,18810,19269,2914,1344
SvB_BS_302,Bokhandeln på Riverside Drive,"Skybäck, Frida",,F,OTHER,pb,sell,122169,11600,8354,22104,22710,3113,1434
SvB_BS_303,Tatueraren i Auschwitz,"Morris, Heather",,F,OTHER,pb,sell,59435,10814,7174,27415,33804,3043,1380
SvB_BS_304,Sommar på den lilla ön i havet,"Colgan, Jenny",,F,OTHER,pb,sell,92906,11544,11161,21377,25371,3283,1700
SvB_BS_305,Det som göms i snö,"Gerhardsen, Carin",,F,CRIME,pb,both,91426,13443,8504,34976,32909,3216,1490
SvB_BS_306,Motiv X,"Ahnhem, Stefan",,M,CRIME,pb,sell,138527,14841,10676,32381,25239,3420,1629
SvB_BS_307,Arv och miljö,"Hjorth, Vigdis",,F,PRESTIGE,pb,sell,75722,21264,18877,97580,128002,3867,1952
SvB_BS_308,På egen hand,"Keyes, Marian",,M,OTHER,pb,sell,177793,12251,10260,23033,22387,3143,1446
bstream_001,Alla kan se dig,"Jansson, Anna",,F,CRIME,no,strm,82827,11118,7171,51670,52715,3005,1344
