samtidigt_ab,172,6208
se_vb,172,83291
sen_jj,172,5200
sida_nn,172,12334
sig_pn,172,165373
sin_ps,172,77519
sitta_vb,172,24885
själv_jj,172,24549
skaka_vb,172,8301
skola_vb,172,124522
slut_nn,172,6019
sluta_vb,172,8198
släppa_vb,172,6468
slå_vb,172,15498
snabbt_ab,172,6794
snart_ab,172,6593
som_ha,172,17269
som_hp,172,184621
som_kn,172,86356
sova_vb,172,6132
spela_vb,172,5553
stanna_vb,172,9501
stark_jj,172,3487
stol_nn,172,4264
stor_jj,172,22805
ställe_nn,172,6004
stänga_vb,172,4523
stå_vb,172,30166
svar_nn,172,5258
svara_vb,172,16164
svart_jj,172,6355
svår_jj,172,4757
säga_vb,172,139897
sätt_nn,172,10576
sätta_vb,172,16992
så_ab,172,104817
så_kn,172,11615
ta_vb,172,67868
tag_nn,172,8035
tanke_nn,172,10524
tappa_vb,172,2544
tid_nn,172,21284
tidigt_ab,172,6960
till_ab,172,6987
till_pl,172,20267
till_pp,172,138692
tillbaka_ab,172,6788
tillbaka_pl,172,13324
tillsammans_ab,172,7045
timme_nn,172,7677
titta_vb,172,22650
tre_rg,172,9977
tro_vb,172,26535
trots_pp,172,8382
trycka_vb,172,5272
träffa_vb,172,8230
tur_nn,172,3140
två_rg,172,22645
tycka_vb,172,14879
tyst_ab,172,3796
tänka_vb,172,36486
under_pp,172,24110
undra_vb,172,8325
ung_jj,172,7129
upp_ab,172,6576
upp_pl,172,52773
ur_pp,172,13437
ut_ab,172,10958
ut_pl,172,50503
utan_kn,172,5309
utan_pp,172,17937
utanför_pp,172,6146
ute_ab,172,6207
vad_hp,172,63956
vara_vb,172,485562
varandra_pn,172,8574
varför_ha,172,15459
varje_dt,172,8552
vecka_nn,172,6979
vem_hp,172,10415
verka_vb,172,11272
verkligen_ab,172,8267
veta_vb,172,53561
vi_pn,172,99423
vid_pp,172,28316
vilja_vb,172,50436
vilken_hd,172,6923
visa_vb,172,9838
väg_nn,172,16841
vägg_nn,172,5964
väl_ab,172,18558
vända_vb,172,12737
vänta_vb,172,12985
värld_nn,172,5893
vår_ps,172,10138
än_ab,172,5409
än_kn,172,22535
ändå_ab,172,12435
ännu_ab,172,8679
äta_vb,172,5846
även_ab,172,10270
år_nn,172,19776
åt_pp,172,15406
öga_nn,172,16884
öppna_vb,172,10854
över_pl,172,6709
över_pp,172,36344
alls_ab,171,4508
andra_pn,171,4400
använda_vb,171,5197
barn_nn,171,14748
ben_nn,171,4657
berätta_vb,171,15809
bland_pp,171,3749
bo_vb,171,7544
bort_ab,171,4641
bruka_vb,171,6551
byta_vb,171,3317
bära_vb,171,4639
både_kn,171,6510
början_nn,171,2913
de_pn,171,131382
dela_vb,171,2215
direkt_ab,171,4108
därför_ab,171,4948
död_jj,171,5255
efter_pl,171,3141
egen_jj,171,11250
en_rg,171,3130
fem_rg,171,4415
fin_jj,171,3690
fler_jj,171,4981
flytta_vb,171,5638
fylla_vb,171,4223
fyra_rg,171,5082
förbi_pl,171,3786
glad_jj,171,4075
glas_nn,171,5041
hemma_ab,171,5677
hit_ab,171,4743
hjärta_nn,171,3857
ibland_ab,171,5589
ifrån_pl,171,2903
in_ab,171,7848
inse_vb,171,5825
kasta_vb,171,5078
kropp_nn,171,8954
känsla_nn,171,5316
leende_nn,171,4385
leta_vb,171,4925
leva_vb,171,5437
lyfta_vb,171,4457
lära_vb,171,4490
läsa_vb,171,8394
minnas_vb,171,7303
månad_nn,171,4188
mörk_jj,171,5253
namn_nn,171,7054
nära_ab,171,6462
nästa_jj,171,5081
om_ab,171,3093
papper_nn,171,3248
par_nn,171,8124
person_nn,171,6132
ringa_vb,171,15215
rädd_jj,171,4948
rätt_ab,171,4063
röra_vb,171,7172
sak_nn,171,14674
samtal_nn,171,6127
sann_jj,171,2723
sent_ab,171,8568
sist_jj,171,7337
skicka_vb,171,4501
steg_nn,171,6304
ställa_vb,171,9813
säker_jj,171,6140
säkert_ab,171,5389
säng_nn,171,6716
så_sn,171,3200
sådan_jj,171,9875
söka_vb,171,4776
tak_nn,171,3040
tala_vb,171,9536
tills_sn,171,5967
trött_jj,171,3117
tvinga_vb,171,3872
tystnad_nn,171,3114
vakna_vb,171,3651
vanlig_jj,171,4125
var_ha,171,6017
vatten_nn,171,6392
vidare_ab,171,5064
viktig_jj,171,4459
vit_jj,171,6180
välja_vb,171,4054
vän_nn,171,5950
åka_vb,171,9644
öra_nn,171,3387
andra_ro,170,3490
annat_pn,170,4340
befinna_vb,170,3742
bil_nn,170,14260
bit_nn,170,3699
bredvid_pp,170,5229
bry_vb,170,2994
djup_jj,170,3158
dyka_vb,170,3995
ett_pn,170,2666
finger_nn,170,4488
fundera_vb,170,3708
färg_nn,170,1990
förklara_vb,170,5712
förlora_vb,170,3059
gälla_vb,170,4026
halv_jj,170,3837
hoppas_vb,170,4937
höja_vb,170,3000
illa_ab,170,3932
ingenting_pn,170,8515
klara_vb,170,4559
