id,title,author1,author2,author_gender,category,frmt1,frmt2,listyears
SvB_BS_155,Stalker,"Kepler, Lars",,2,CRIME,both,both,2014_2015_2015
SvB_BS_156,Gone Girl,"Flynn, Gillian",,F,CRIME,pb,sell,no_2015_no
SvB_BS_157,Lejontämjaren,"Läckberg, Camilla",,F,CRIME,hb,both,2014_no_2015
SvB_BS_158,VIP-rummet,"Lapidus, Jens",,M,CRIME,hb,sell,2015_no_no
SvB_BS_161,Sonen,"Nesbø, Jo",,M,CRIME,both,sell,2014_2015_no
SvB_BS_163,Jag heter inte Miriam,"Axelsson, Majgull",,F,OTHER,both,sell,2014_2015_no
SvB_BS_165,De underkända,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,hb,both,2015_na_2015
SvB_BS_166,Blå stjärnan,"Guillou, Jan",,M,OTHER,hb,sell,2015_na_no
SvB_BS_167,Det som inte dödar oss,"Lagercrantz, David",,M,CRIME,both,both,2015_2016_2015
SvB_BS_168,Bombmakaren och hans kvinna,"Persson, Leif GW",,M,CRIME,hb,both,2015_no_2015
SvB_BS_169,Britt-Marie var här,"Backman, Fredrik",,M,OTHER,both,sell,2015_2015_no
SvB_BS_170,Mördar-Anders och hans vänner samt en och annan ovän,"Jonasson, Jonas",,M,OTHER,both,both,2015_2016_2015
SvB_BS_171,Allt jag inte minns,"Khemiri, Jonas Hassen",,M,PRESTIGE,both,sell,2015_2016_no
SvB_BS_172,STHLM Delete,"Lapidus, Jens",,M,CRIME,both,both,2015_2016_2015
SvB_BS_173,Det är något som inte stämmer,"Haag, Martina",,F,OTHER,both,both,2015_2016_2015
SvB_BS_174,Playground,"Kepler, Lars",,2,CRIME,hb,sell,2015_no_no
SvB_BS_175,Järnblod,"Marklund, Liza",,F,CRIME,both,both,2015_2016_2015
SvB_BS_176,Arvet efter dig,"Moyes, Jojo",,F,OTHER,both,both,2015_2016_2016
SvB_BS_177,Björndansen,"Roslund, Anders",Stefan Thunberg,M,CRIME,hb,sell,2015_no_no
SvB_BS_178,Liv till varje pris,"Sandberg, Kristina",,F,PRESTIGE,hb,sell,2015_no_no
SvB_BS_179,Konsten att höra hjärtslag,"Sendker, Jan-Philipp",,M,OTHER,pb,sell,no_2015_no
SvB_BS_180,Etthundra mil,"Moyes, Jojo",,F,OTHER,pb,sell,no_2015_no
SvB_BS_181,Sista brevet från din älskade,"Moyes, Jojo",,F,OTHER,pb,sell,no_2015_no
SvB_BS_182,Visning pågår,"Sarenbrant, Sofie",,F,CRIME,pb,sell,no_2015_no
SvB_BS_183,Att föda ett barn,"Sandberg, Kristina",,F,OTHER,pb,sell,no_2015_no
SvB_BS_184,Lotus blues,"Ohlsson, Kristina",,F,CRIME,pb,sell,no_2015_no
SvB_BS_185,Offer utan ansikte,"Ahnhem, Stefan",,M,CRIME,pb,sell,no_2015_no
SvB_BS_186,Öppnas i händelse av min död,"Moriarty, Liane",,F,OTHER,pb,sell,no_2015_no
SvB_BS_187,Stoner,"Williams, John",,M,OTHER,pb,sell,no_2015_no
SvB_BS_188,I skymningen sjunger koltrasten,"Olsson, Linda",,F,OTHER,pb,sell,no_2015_no
SvB_BS_189,I maktens skugga,"Sten, Viveca",,F,CRIME,pb,sell,no_2015_no
SvB_BS_190,Jakthundarna,"Lier Horst, Jørn",,M,CRIME,pb,sell,no_2015_no
SvB_BS_191,Den stumma flickan,"Hjorth, Michael",Hans Rosenfeldt,M,CRIME,pb,sell,no_2015_no
SvB_BS_192,Tre minuter,"Roslund, Anders",Börge Hellström,M,CRIME,hb,sell,2016_no_no
SvB_BS_193,Kaninjägaren,"Kepler, Lars",,2,CRIME,both,both,2016_2017_2016
SvB_BS_194,Kan man dö två gånger?,"Persson, Leif GW",,M,CRIME,both,both,2016_2017_2016
SvB_BS_195,Äkta amerikanska jeans,"Guillou, Jan",,M,OTHER,hb,sell,2016_no_no
SvB_BS_196,Simma med de drunknade,"Mytting, Lars",,M,OTHER,pb,sell,no_2016_no
SvB_BS_197,Ljuset vi inte ser,"Doerr, Anthony",,M,OTHER,pb,sell,no_2016_no
SvB_BS_198,Avdelning 73,"Sarenbrant, Sofie",,F,CRIME,pb,both,no_2016_2015
SvB_BS_199,Det andra ansiktet,"Jungstedt, Mari",,F,CRIME,both,both,2016_2017_2016
SvB_BS_200,Störst av allt,"Persson Giolito, Malin",,F,CRIME,both,both,2016_2017_2017
SvB_BS_201,Snövit ska dö,"Neuhaus, Nele",,F,CRIME,pb,sell,no_2016_no
SvB_BS_202,Glöm mig,"Schulman, Alex",,M,OTHER,both,sell,2016_2017_no
